params,input,prompt,generator choices,labels,label_arr,label_arr_formatted,label_desc_formatted
"{'prefix': '\nGenerate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","had to go back & forth with customer service to get the same price two of my friends were paying... even tho i'm unemployed bc of covid & both of my friends have good jobs... first counselor i was paired with was a christian counselor (i'm jewish)... 2nd counselor was alright for a a week but then after a few weeks i realized all she ever did was ask me how i was doing every 2 days... the conversation never really went farther than that... the one time i opened up to that therapist she told me i had a choice in a particular situation where i really didn't, then she went onto brag about how she was homeless at 16 with 3 dependents... lol this counselor, according to betterhelp, supposedly had 25 years of experience & was competing with me about how bad our experiences were... so after that i switched a bunch of times bc i kept getting paired men or ppl with only a few years of experience... i know i'm a tough case... i know i need someone who can handle a lot... anyway, after the 5th or 6th switch i got frustrated over multiple misunderstandings with customer service about pricing so i asked for my money back & without any response or confirmation my subscription was cancelled 2 days later... after i had just turned in my first therapy assignment... and then i was told i wouldn't be able to get the same price i was paying before if i resigned up... so i responded by reminding them that they were in the business of helping ppl who are hurting & that their system was infuriating for someone who's just trying to get help... so then they changed their tune real quick & offered me the price i wanted but i told them i had already signed up with talkspace & immediately my experience was much better with zero frustrations!","
Generate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
had to go back & forth with customer service to get the same price two of my friends were paying... even tho i'm unemployed bc of covid & both of my friends have good jobs... first counselor i was paired with was a christian counselor (i'm jewish)... 2nd counselor was alright for a a week but then after a few weeks i realized all she ever did was ask me how i was doing every 2 days... the conversation never really went farther than that... the one time i opened up to that therapist she told me i had a choice in a particular situation where i really didn't, then she went onto brag about how she was homeless at 16 with 3 dependents... lol this counselor, according to betterhelp, supposedly had 25 years of experience & was competing with me about how bad our experiences were... so after that i switched a bunch of times bc i kept getting paired men or ppl with only a few years of experience... i know i'm a tough case... i know i need someone who can handle a lot... anyway, after the 5th or 6th switch i got frustrated over multiple misunderstandings with customer service about pricing so i asked for my money back & without any response or confirmation my subscription was cancelled 2 days later... after i had just turned in my first therapy assignment... and then i was told i wouldn't be able to get the same price i was paying before if i resigned up... so i responded by reminding them that they were in the business of helping ppl who are hurting & that their system was infuriating for someone who's just trying to get help... so then they changed their tune real quick & offered me the price i wanted but i told them i had already signed up with talkspace & immediately my experience was much better with zero frustrations!
""""""""","[<OpenAIObject at 0x7f0336fc14f0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Frustrating: Difficulty with customer service and counselor matching\n2. Inexperienced: Multiple counselors with only a few years of experience\n3. Unhelpful: Conversations never went beyond surface level\n4. Insensitive: Counselor made inappropriate comments and compared experiences\n5. Unreliable: Subscription cancellation without confirmation or response"",
    ""role"": ""assistant""
  }
}]","['1. Frustrating: Difficulty with customer service and counselor matching', '2. Inexperienced: Multiple counselors with only a few years of experience', '3. Unhelpful: Conversations never went beyond surface level', '4. Insensitive: Counselor made inappropriate comments and compared experiences', '5. Unreliable: Subscription cancellation without confirmation or response']","['1. Frustrating: Difficulty with customer service and counselor matching', '2. Inexperienced: Multiple counselors with only a few years of experience', '3. Unhelpful: Conversations never went beyond surface level', '4. Insensitive: Counselor made inappropriate comments and compared experiences', '5. Unreliable: Subscription cancellation without confirmation or response']","['frustrating', 'inexperienced', 'unhelpful', 'insensitive', 'unreliable']","{'frustrating': ' Difficulty with customer service and counselor matching', 'inexperienced': ' Multiple counselors with only a few years of experience', 'unhelpful': ' Conversations never went beyond surface level', 'insensitive': ' Counselor made inappropriate comments and compared experiences', 'unreliable': ' Subscription cancellation without confirmation or response'}"
"{'prefix': '\nGenerate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}",just downloaded rootd today & i think itz such a cute lil app & it helped meh feel calm itz helping my anxiety i highly recommend it to others who live alone try it gives yuh nice  info of anxiety so yuh can really understand what it really is & i learned dat it's no big deal & dat there's nothing to b afraid of but only a natural sensation dat comes & goes but dat yuh have to b brave because yuh r in control of it not it of yuh & since before i did have like a phobia of elevators but now slowly gonna b killing this fear thx 4 reminding me dat i'm in control makes me feel so much better & dat i gotta b brave thx  god bless yuh rootd company & thx 4 looking out 4 us out here.,"
Generate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
just downloaded rootd today & i think itz such a cute lil app & it helped meh feel calm itz helping my anxiety i highly recommend it to others who live alone try it gives yuh nice  info of anxiety so yuh can really understand what it really is & i learned dat it's no big deal & dat there's nothing to b afraid of but only a natural sensation dat comes & goes but dat yuh have to b brave because yuh r in control of it not it of yuh & since before i did have like a phobia of elevators but now slowly gonna b killing this fear thx 4 reminding me dat i'm in control makes me feel so much better & dat i gotta b brave thx  god bless yuh rootd company & thx 4 looking out 4 us out here.
""""""""","[<OpenAIObject at 0x7f0336d09040> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Calming: Helps users feel calm and in control of their anxiety.\n2. Informative: Provides helpful information about anxiety to increase understanding.\n3. Empowering: Encourages users to be brave and take control of their anxiety.\n4. User-friendly: Easy to use and navigate, with a cute design.\n5. Fear-reducing: Helps users overcome fears and phobias."",
    ""role"": ""assistant""
  }
}]","['1. Calming: Helps users feel calm and in control of their anxiety.', '2. Informative: Provides helpful information about anxiety to increase understanding.', '3. Empowering: Encourages users to be brave and take control of their anxiety.', '4. User-friendly: Easy to use and navigate, with a cute design.', '5. Fear-reducing: Helps users overcome fears and phobias.']","['1. Calming: Helps users feel calm and in control of their anxiety.', '2. Informative: Provides helpful information about anxiety to increase understanding.', '3. Empowering: Encourages users to be brave and take control of their anxiety.', '4. User-friendly: Easy to use and navigate, with a cute design.', '5. Fear-reducing: Helps users overcome fears and phobias.']","['calming', 'informative', 'empowering', 'userfriendly', 'fearreducing']","{'calming': ' Helps users feel calm and in control of their anxiety.', 'informative': ' Provides helpful information about anxiety to increase understanding.', 'empowering': ' Encourages users to be brave and take control of their anxiety.', 'userfriendly': ' Easy to use and navigate, with a cute design.', 'fearreducing': ' Helps users overcome fears and phobias.'}"
"{'prefix': '\nGenerate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","i accidentally downloaded it(via my niece) and now i got an update saying i am now a proud owner of the yearly subscription... this app does not make you calm i am highly irritated that they use marketing to little kids to get their sales.. she claimed she accidentally clicked and installed the app while watching ryan, she's only 3 going on 4 so i do not entirely blame her(although i have strictly told her not to download things from the ads she sees for these reasons) but i do understand the terms and services of apple and how they don't let you make returns on stuff like this, it's highly irritating and ironic that an app called calm would make me so dang agitated... please do not have a mindset of a 3 year old when downloading this or you'll pay the price of $75 as i have... 

merry christmas/ happy holidays :)) 

(i've copied and pasted into my notes incase this review is removed for any reason on distributers or apple's side)","
Generate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
i accidentally downloaded it(via my niece) and now i got an update saying i am now a proud owner of the yearly subscription... this app does not make you calm i am highly irritated that they use marketing to little kids to get their sales.. she claimed she accidentally clicked and installed the app while watching ryan, she's only 3 going on 4 so i do not entirely blame her(although i have strictly told her not to download things from the ads she sees for these reasons) but i do understand the terms and services of apple and how they don't let you make returns on stuff like this, it's highly irritating and ironic that an app called calm would make me so dang agitated... please do not have a mindset of a 3 year old when downloading this or you'll pay the price of $75 as i have... 

merry christmas/ happy holidays :)) 

(i've copied and pasted into my notes incase this review is removed for any reason on distributers or apple's side)
""""""""","[<OpenAIObject at 0x7f0336d09860> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Deceptive: App uses marketing tactics to trick young children into downloading and purchasing.\n2. Aggravating: App does not live up to its name and actually causes irritation.\n3. Costly: Yearly subscription costs $75 and there are no returns allowed.\n4. Misleading: App's name suggests it will help with calmness, but it does not deliver.\n5. Frustrating: User warns against having a childlike mindset when downloading the app to avoid paying for an unwanted subscription."",
    ""role"": ""assistant""
  }
}]","['1. Deceptive: App uses marketing tactics to trick young children into downloading and purchasing.', '2. Aggravating: App does not live up to its name and actually causes irritation.', '3. Costly: Yearly subscription costs $75 and there are no returns allowed.', ""4. Misleading: App's name suggests it will help with calmness, but it does not deliver."", '5. Frustrating: User warns against having a childlike mindset when downloading the app to avoid paying for an unwanted subscription.']","['1. Deceptive: App uses marketing tactics to trick young children into downloading and purchasing.', '2. Aggravating: App does not live up to its name and actually causes irritation.', '3. Costly: Yearly subscription costs $75 and there are no returns allowed.', ""4. Misleading: App's name suggests it will help with calmness, but it does not deliver."", '5. Frustrating: User warns against having a childlike mindset when downloading the app to avoid paying for an unwanted subscription.']","['deceptive', 'aggravating', 'costly', 'misleading', 'frustrating']","{'deceptive': ' App uses marketing tactics to trick young children into downloading and purchasing.', 'aggravating': ' App does not live up to its name and actually causes irritation.', 'costly': ' Yearly subscription costs $75 and there are no returns allowed.', 'misleading': "" App's name suggests it will help with calmness, but it does not deliver."", 'frustrating': ' User warns against having a childlike mindset when downloading the app to avoid paying for an unwanted subscription.'}"
"{'prefix': '\nGenerate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","this app is for anxiety and to help people who have trouble falling asleep and i can't believe that an app that is supposed to help with things like that that people can't control makes you pay $70 a year you might think that these people would be generous and let you at least have a few things unlocked but no literally every single thing is locked and you can't use it unless you have the stupid extremely expensive subscription again this is especially insane because this is an app for people who have trouble falling asleep or anxiety and you make them pay for something they can't control i feel like this app should be free or at least make it a $10 app because this is insane how much money you want people to pay so they can have better control on something that's really hard for them to handle what you're doing is greedy, selfish, and rude i honestly don't know why there are so many good reviews about this because you literally cannot use anything without the expensive subscription other people might have enough money to pay for something like this but i definitely don't have enough money to pay for something this expensive","
Generate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
this app is for anxiety and to help people who have trouble falling asleep and i can't believe that an app that is supposed to help with things like that that people can't control makes you pay $70 a year you might think that these people would be generous and let you at least have a few things unlocked but no literally every single thing is locked and you can't use it unless you have the stupid extremely expensive subscription again this is especially insane because this is an app for people who have trouble falling asleep or anxiety and you make them pay for something they can't control i feel like this app should be free or at least make it a $10 app because this is insane how much money you want people to pay so they can have better control on something that's really hard for them to handle what you're doing is greedy, selfish, and rude i honestly don't know why there are so many good reviews about this because you literally cannot use anything without the expensive subscription other people might have enough money to pay for something like this but i definitely don't have enough money to pay for something this expensive
""""""""","[<OpenAIObject at 0x7f0336fc5b30> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Exploitative: App charges exorbitant fees for necessary features\n2. Inaccessible: All features locked behind expensive subscription\n3. Unsympathetic: App developers show no understanding of users' financial limitations\n4. Unethical: Charging for help with uncontrollable mental health issues is morally questionable\n5. Disappointing: App fails to deliver on promise of anxiety and sleep assistance"",
    ""role"": ""assistant""
  }
}]","['1. Exploitative: App charges exorbitant fees for necessary features', '2. Inaccessible: All features locked behind expensive subscription', ""3. Unsympathetic: App developers show no understanding of users' financial limitations"", '4. Unethical: Charging for help with uncontrollable mental health issues is morally questionable', '5. Disappointing: App fails to deliver on promise of anxiety and sleep assistance']","['1. Exploitative: App charges exorbitant fees for necessary features', '2. Inaccessible: All features locked behind expensive subscription', ""3. Unsympathetic: App developers show no understanding of users' financial limitations"", '4. Unethical: Charging for help with uncontrollable mental health issues is morally questionable', '5. Disappointing: App fails to deliver on promise of anxiety and sleep assistance']","['exploitative', 'inaccessible', 'unsympathetic', 'unethical', 'disappointing']","{'exploitative': ' App charges exorbitant fees for necessary features', 'inaccessible': ' All features locked behind expensive subscription', 'unsympathetic': "" App developers show no understanding of users' financial limitations"", 'unethical': ' Charging for help with uncontrollable mental health issues is morally questionable', 'disappointing': ' App fails to deliver on promise of anxiety and sleep assistance'}"
"{'prefix': '\nGenerate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","i've been using betterhelp for maybe six months now i have a student discount but even with the student discount it is pricey but i believe it is worth it you can switch your therapist if you don't like them which i do like a lot you can video chat text or phone call your therapist and share journal entries which i love you can also attend virtual meetings about other topics that you're interested in like group therapy
i went through two other therapist but i finally found the perfect one the other ones are really good though just not for me what issue i do have is that when i'm doing a voice call session if i hit mute and unmute then it keeps going back on mute every five seconds which is pretty annoying i've already reported it hopefully they can fix that bug soon but other than that the app functionality is good","
Generate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
i've been using betterhelp for maybe six months now i have a student discount but even with the student discount it is pricey but i believe it is worth it you can switch your therapist if you don't like them which i do like a lot you can video chat text or phone call your therapist and share journal entries which i love you can also attend virtual meetings about other topics that you're interested in like group therapy
i went through two other therapist but i finally found the perfect one the other ones are really good though just not for me what issue i do have is that when i'm doing a voice call session if i hit mute and unmute then it keeps going back on mute every five seconds which is pretty annoying i've already reported it hopefully they can fix that bug soon but other than that the app functionality is good
""""""""","[<OpenAIObject at 0x7f0336fc14a0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Convenient: Offers video chat, text, and phone call options for therapy sessions.\n2. Customizable: Allows users to switch therapists if they are not a good fit.\n3. Expensive: Despite a student discount, the app is still pricey.\n4. Diverse: Offers virtual meetings on various topics, including group therapy.\n5. Functional: Overall, the app works well, but there is a bug with muting during voice calls."",
    ""role"": ""assistant""
  }
}]","['1. Convenient: Offers video chat, text, and phone call options for therapy sessions.', '2. Customizable: Allows users to switch therapists if they are not a good fit.', '3. Expensive: Despite a student discount, the app is still pricey.', '4. Diverse: Offers virtual meetings on various topics, including group therapy.', '5. Functional: Overall, the app works well, but there is a bug with muting during voice calls.']","['1. Convenient: Offers video chat, text, and phone call options for therapy sessions.', '2. Customizable: Allows users to switch therapists if they are not a good fit.', '3. Expensive: Despite a student discount, the app is still pricey.', '4. Diverse: Offers virtual meetings on various topics, including group therapy.', '5. Functional: Overall, the app works well, but there is a bug with muting during voice calls.']","['convenient', 'customizable', 'expensive', 'diverse', 'functional']","{'convenient': ' Offers video chat, text, and phone call options for therapy sessions.', 'customizable': ' Allows users to switch therapists if they are not a good fit.', 'expensive': ' Despite a student discount, the app is still pricey.', 'diverse': ' Offers virtual meetings on various topics, including group therapy.', 'functional': ' Overall, the app works well, but there is a bug with muting during voice calls.'}"
"{'prefix': '\nGenerate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","i went to the website and tried to sign up for a basic membership or trial but the site literally will not let you 
it skips over basic membership and charges you $65 for a year to try it and then  says it won't refund any of your money and that you have to contact apple support and beg them for a refund and maybe apple will refund and maybe not 

the same two ppl narrate pretty much everything i tried on the app and the woman tamara's voice is extremely annoying 
i can't meditate to that 
i tried to get a refund and there's no way to contact anyone so think twice before you spend 65 dollars to try something because you can not get refund 
i will be calling credit card company tomorrow to do a charge back 
i used the app for about 30 minutes so i think a month charge would be fair but nope it's $65 .","
Generate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
i went to the website and tried to sign up for a basic membership or trial but the site literally will not let you 
it skips over basic membership and charges you $65 for a year to try it and then  says it won't refund any of your money and that you have to contact apple support and beg them for a refund and maybe apple will refund and maybe not 

the same two ppl narrate pretty much everything i tried on the app and the woman tamara's voice is extremely annoying 
i can't meditate to that 
i tried to get a refund and there's no way to contact anyone so think twice before you spend 65 dollars to try something because you can not get refund 
i will be calling credit card company tomorrow to do a charge back 
i used the app for about 30 minutes so i think a month charge would be fair but nope it's $65 .
""""""""","[<OpenAIObject at 0x7f0336fc5f40> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Deceptive: Misleading pricing and refund policy\n2. Limited: Only two narrators with annoying voice\n3. Inaccessible: No way to contact customer support for refunds\n4. Overpriced: $65 for a year with no option for monthly subscription\n5. Frustrating: Difficult to sign up for basic membership or trial"",
    ""role"": ""assistant""
  }
}]","['1. Deceptive: Misleading pricing and refund policy', '2. Limited: Only two narrators with annoying voice', '3. Inaccessible: No way to contact customer support for refunds', '4. Overpriced: $65 for a year with no option for monthly subscription', '5. Frustrating: Difficult to sign up for basic membership or trial']","['1. Deceptive: Misleading pricing and refund policy', '2. Limited: Only two narrators with annoying voice', '3. Inaccessible: No way to contact customer support for refunds', '4. Overpriced: $65 for a year with no option for monthly subscription', '5. Frustrating: Difficult to sign up for basic membership or trial']","['deceptive', 'limited', 'inaccessible', 'overpriced', 'frustrating']","{'deceptive': ' Misleading pricing and refund policy', 'limited': ' Only two narrators with annoying voice', 'inaccessible': ' No way to contact customer support for refunds', 'overpriced': ' $65 for a year with no option for monthly subscription', 'frustrating': ' Difficult to sign up for basic membership or trial'}"
"{'prefix': '\nGenerate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","even though mediation sounds dumb' for some people, headspace is the very opposite; it gives me mindfulness tips and follow up with a mediation, making the mindfulness lesson more memorable, and what i learned so far (and all of them are so freaking helpful) are: observe thoughts instead of reacting and getting carried away with them, if we're reacting to thoughts we are keeping the emotion alive, adding more fuel to the fire; let's thoughts come and go, with a gentle or effortless focus; having a daydream sense of mind let's us take things less seriously and it gives us more freedom, and sooooo many more (i can't remember all at the moment).","
Generate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
even though mediation sounds dumb' for some people, headspace is the very opposite; it gives me mindfulness tips and follow up with a mediation, making the mindfulness lesson more memorable, and what i learned so far (and all of them are so freaking helpful) are: observe thoughts instead of reacting and getting carried away with them, if we're reacting to thoughts we are keeping the emotion alive, adding more fuel to the fire; let's thoughts come and go, with a gentle or effortless focus; having a daydream sense of mind let's us take things less seriously and it gives us more freedom, and sooooo many more (i can't remember all at the moment).
""""""""","[<OpenAIObject at 0x7f0336fc5e50> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Mindful: Provides mindfulness tips and follow-up meditations for a memorable experience.\n2. Insightful: Teaches to observe thoughts instead of reacting and getting carried away with them.\n3. Empowering: Encourages letting thoughts come and go with gentle or effortless focus.\n4. Liberating: Promotes having a daydream sense of mind to take things less seriously and gain more freedom.\n5. Helpful: Provides numerous helpful tips for mental well-being."",
    ""role"": ""assistant""
  }
}]","['1. Mindful: Provides mindfulness tips and follow-up meditations for a memorable experience.', '2. Insightful: Teaches to observe thoughts instead of reacting and getting carried away with them.', '3. Empowering: Encourages letting thoughts come and go with gentle or effortless focus.', '4. Liberating: Promotes having a daydream sense of mind to take things less seriously and gain more freedom.', '5. Helpful: Provides numerous helpful tips for mental well-being.']","['1. Mindful: Provides mindfulness tips and follow-up meditations for a memorable experience.', '2. Insightful: Teaches to observe thoughts instead of reacting and getting carried away with them.', '3. Empowering: Encourages letting thoughts come and go with gentle or effortless focus.', '4. Liberating: Promotes having a daydream sense of mind to take things less seriously and gain more freedom.', '5. Helpful: Provides numerous helpful tips for mental well-being.']","['mindful', 'insightful', 'empowering', 'liberating', 'helpful']","{'mindful': ' Provides mindfulness tips and follow-up meditations for a memorable experience.', 'insightful': ' Teaches to observe thoughts instead of reacting and getting carried away with them.', 'empowering': ' Encourages letting thoughts come and go with gentle or effortless focus.', 'liberating': ' Promotes having a daydream sense of mind to take things less seriously and gain more freedom.', 'helpful': ' Provides numerous helpful tips for mental well-being.'}"
"{'prefix': '\nGenerate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","as a marketing, public relations and communications agency owner and consultant i have worked with many hundreds of journalists and writers and can say whole heartedly that dan harris is among the best interviewers - he knows the subjects so well he is able to distill scientific and professional jargon into simple language for the novice or beginner student of mindfulness, meditation and other subjects  which have proven evidence based results for helping us heal and evolve our self care toward a more joy filled and less stressful life.","
Generate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
as a marketing, public relations and communications agency owner and consultant i have worked with many hundreds of journalists and writers and can say whole heartedly that dan harris is among the best interviewers - he knows the subjects so well he is able to distill scientific and professional jargon into simple language for the novice or beginner student of mindfulness, meditation and other subjects  which have proven evidence based results for helping us heal and evolve our self care toward a more joy filled and less stressful life.
""""""""","[<OpenAIObject at 0x7f0336fc19f0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Knowledgeable: Able to distill complex concepts into simple language for beginners.\n2. Effective: Proven evidence-based results for improving self-care and reducing stress.\n3. Experienced: Worked with many journalists and writers in the field of mental health.\n4. Skilled: Among the best interviewers in the industry.\n5. Empathetic: Focused on helping individuals heal and evolve towards a more joy-filled life."",
    ""role"": ""assistant""
  }
}]","['1. Knowledgeable: Able to distill complex concepts into simple language for beginners.', '2. Effective: Proven evidence-based results for improving self-care and reducing stress.', '3. Experienced: Worked with many journalists and writers in the field of mental health.', '4. Skilled: Among the best interviewers in the industry.', '5. Empathetic: Focused on helping individuals heal and evolve towards a more joy-filled life.']","['1. Knowledgeable: Able to distill complex concepts into simple language for beginners.', '2. Effective: Proven evidence-based results for improving self-care and reducing stress.', '3. Experienced: Worked with many journalists and writers in the field of mental health.', '4. Skilled: Among the best interviewers in the industry.', '5. Empathetic: Focused on helping individuals heal and evolve towards a more joy-filled life.']","['knowledgeable', 'effective', 'experienced', 'skilled', 'empathetic']","{'knowledgeable': ' Able to distill complex concepts into simple language for beginners.', 'effective': ' Proven evidence-based results for improving self-care and reducing stress.', 'experienced': ' Worked with many journalists and writers in the field of mental health.', 'skilled': ' Among the best interviewers in the industry.', 'empathetic': ' Focused on helping individuals heal and evolve towards a more joy-filled life.'}"
"{'prefix': '\nGenerate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","the ai uses an excess of emojis and even the responses that are supposed to be able to be written and interpreted use them excessively

the reviews are certainly heavily inflated whether by app stores themselves or purchased reviews, any and all developer responses are scripts that they only tweak to say we assure you we x, likely to try and spread disinformation

they backlessly claim they've had the ai which is in fact a preprogrammed questionnaire tested at esteemed universities, and continuously inflate their own egos by praising themselves within the first minute of talking with the ai

as said by another reviewer, it is extraordinarily childish in behaviour, and talks patronisingly","
Generate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
the ai uses an excess of emojis and even the responses that are supposed to be able to be written and interpreted use them excessively

the reviews are certainly heavily inflated whether by app stores themselves or purchased reviews, any and all developer responses are scripts that they only tweak to say we assure you we x, likely to try and spread disinformation

they backlessly claim they've had the ai which is in fact a preprogrammed questionnaire tested at esteemed universities, and continuously inflate their own egos by praising themselves within the first minute of talking with the ai

as said by another reviewer, it is extraordinarily childish in behaviour, and talks patronisingly
""""""""","[<OpenAIObject at 0x7f0336fc57c0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Excessive: Overuse of emojis and scripted responses\n2. Inflated: Reviews and developer responses likely purchased or manipulated\n3. Misleading: False claims about AI testing and self-praise\n4. Childish: Immature behavior and patronizing language\n5. Disappointing: Overall negative experience with the app"",
    ""role"": ""assistant""
  }
}]","['1. Excessive: Overuse of emojis and scripted responses', '2. Inflated: Reviews and developer responses likely purchased or manipulated', '3. Misleading: False claims about AI testing and self-praise', '4. Childish: Immature behavior and patronizing language', '5. Disappointing: Overall negative experience with the app']","['1. Excessive: Overuse of emojis and scripted responses', '2. Inflated: Reviews and developer responses likely purchased or manipulated', '3. Misleading: False claims about AI testing and self-praise', '4. Childish: Immature behavior and patronizing language', '5. Disappointing: Overall negative experience with the app']","['excessive', 'inflated', 'misleading', 'childish', 'disappointing']","{'excessive': ' Overuse of emojis and scripted responses', 'inflated': ' Reviews and developer responses likely purchased or manipulated', 'misleading': ' False claims about AI testing and self-praise', 'childish': ' Immature behavior and patronizing language', 'disappointing': ' Overall negative experience with the app'}"
"{'prefix': '\nGenerate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","even though a decent app there are issues
no linkage to app store purchase history 
no notification of impending renewal 
no non-automated response to inquiries 
no way to cancel via app store
says billed via apple pay but transaction doesn't show on apple pay transactions
subscription defaulted to family plan at 2x the price
unsubscribe did not issue a refund
billing terms can't be found
impossible to get a real support person to help
disputing via credit card, last resort.","
Generate minimum of five adjective labels with very concise descriptions that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
even though a decent app there are issues
no linkage to app store purchase history 
no notification of impending renewal 
no non-automated response to inquiries 
no way to cancel via app store
says billed via apple pay but transaction doesn't show on apple pay transactions
subscription defaulted to family plan at 2x the price
unsubscribe did not issue a refund
billing terms can't be found
impossible to get a real support person to help
disputing via credit card, last resort.
""""""""","[<OpenAIObject at 0x7f0336fc5c20> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Deceptive: Misleading billing practices and lack of transparency.\n2. Inconvenient: No easy way to cancel or manage subscription.\n3. Unresponsive: Lack of customer support and automated responses.\n4. Expensive: Defaulted to a more expensive family plan without consent.\n5. Frustrating: Difficulty in finding billing terms and resolving issues."",
    ""role"": ""assistant""
  }
}]","['1. Deceptive: Misleading billing practices and lack of transparency.', '2. Inconvenient: No easy way to cancel or manage subscription.', '3. Unresponsive: Lack of customer support and automated responses.', '4. Expensive: Defaulted to a more expensive family plan without consent.', '5. Frustrating: Difficulty in finding billing terms and resolving issues.']","['1. Deceptive: Misleading billing practices and lack of transparency.', '2. Inconvenient: No easy way to cancel or manage subscription.', '3. Unresponsive: Lack of customer support and automated responses.', '4. Expensive: Defaulted to a more expensive family plan without consent.', '5. Frustrating: Difficulty in finding billing terms and resolving issues.']","['deceptive', 'inconvenient', 'unresponsive', 'expensive', 'frustrating']","{'deceptive': ' Misleading billing practices and lack of transparency.', 'inconvenient': ' No easy way to cancel or manage subscription.', 'unresponsive': ' Lack of customer support and automated responses.', 'expensive': ' Defaulted to a more expensive family plan without consent.', 'frustrating': ' Difficulty in finding billing terms and resolving issues.'}"
