params,input,prompt,generator choices,labels
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements (with very concise description) that are mentioned in the following mental health app review. Do not list general NFRs if the review does not include them.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","had to go back & forth with customer service to get the same price two of my friends were paying... even tho i'm unemployed bc of covid & both of my friends have good jobs... first counselor i was paired with was a christian counselor (i'm jewish)... 2nd counselor was alright for a a week but then after a few weeks i realized all she ever did was ask me how i was doing every 2 days... the conversation never really went farther than that... the one time i opened up to that therapist she told me i had a choice in a particular situation where i really didn't, then she went onto brag about how she was homeless at 16 with 3 dependents... lol this counselor, according to betterhelp, supposedly had 25 years of experience & was competing with me about how bad our experiences were... so after that i switched a bunch of times bc i kept getting paired men or ppl with only a few years of experience... i know i'm a tough case... i know i need someone who can handle a lot... anyway, after the 5th or 6th switch i got frustrated over multiple misunderstandings with customer service about pricing so i asked for my money back & without any response or confirmation my subscription was cancelled 2 days later... after i had just turned in my first therapy assignment... and then i was told i wouldn't be able to get the same price i was paying before if i resigned up... so i responded by reminding them that they were in the business of helping ppl who are hurting & that their system was infuriating for someone who's just trying to get help... so then they changed their tune real quick & offered me the price i wanted but i told them i had already signed up with talkspace & immediately my experience was much better with zero frustrations!","
Generate minimum of five labels for Non Functional Requirements (with very concise description) that are mentioned in the following mental health app review. Do not list general NFRs if the review does not include them.
Desired format: {label}: {description}
Review: """"""
had to go back & forth with customer service to get the same price two of my friends were paying... even tho i'm unemployed bc of covid & both of my friends have good jobs... first counselor i was paired with was a christian counselor (i'm jewish)... 2nd counselor was alright for a a week but then after a few weeks i realized all she ever did was ask me how i was doing every 2 days... the conversation never really went farther than that... the one time i opened up to that therapist she told me i had a choice in a particular situation where i really didn't, then she went onto brag about how she was homeless at 16 with 3 dependents... lol this counselor, according to betterhelp, supposedly had 25 years of experience & was competing with me about how bad our experiences were... so after that i switched a bunch of times bc i kept getting paired men or ppl with only a few years of experience... i know i'm a tough case... i know i need someone who can handle a lot... anyway, after the 5th or 6th switch i got frustrated over multiple misunderstandings with customer service about pricing so i asked for my money back & without any response or confirmation my subscription was cancelled 2 days later... after i had just turned in my first therapy assignment... and then i was told i wouldn't be able to get the same price i was paying before if i resigned up... so i responded by reminding them that they were in the business of helping ppl who are hurting & that their system was infuriating for someone who's just trying to get help... so then they changed their tune real quick & offered me the price i wanted but i told them i had already signed up with talkspace & immediately my experience was much better with zero frustrations!
""""""""","[<OpenAIObject at 0x7f0336d574f0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Customer Service Responsiveness: The app should have a responsive customer service team that can address user concerns in a timely and efficient manner.\n2. Counselor Matching: The app should have a reliable system for matching users with counselors who are compatible with their needs, preferences, and beliefs.\n3. Counselor Experience: The app should ensure that the counselors have sufficient experience and expertise to handle complex cases and provide effective therapy.\n4. Pricing Transparency: The app should have clear and transparent pricing policies that do not discriminate against users based on their employment status or other personal factors.\n5. User Support: The app should provide adequate support to users who experience technical difficulties, misunderstandings, or other issues that may affect their therapy experience."",
    ""role"": ""assistant""
  }
}]","['1. Customer Service Responsiveness: The app should have a responsive customer service team that can address user concerns in a timely and efficient manner.', '2. Counselor Matching: The app should have a reliable system for matching users with counselors who are compatible with their needs, preferences, and beliefs.', '3. Counselor Experience: The app should ensure that the counselors have sufficient experience and expertise to handle complex cases and provide effective therapy.', '4. Pricing Transparency: The app should have clear and transparent pricing policies that do not discriminate against users based on their employment status or other personal factors.', '5. User Support: The app should provide adequate support to users who experience technical difficulties, misunderstandings, or other issues that may affect their therapy experience.']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements (with very concise description) that are mentioned in the following mental health app review. Do not list general NFRs if the review does not include them.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}",just downloaded rootd today & i think itz such a cute lil app & it helped meh feel calm itz helping my anxiety i highly recommend it to others who live alone try it gives yuh nice  info of anxiety so yuh can really understand what it really is & i learned dat it's no big deal & dat there's nothing to b afraid of but only a natural sensation dat comes & goes but dat yuh have to b brave because yuh r in control of it not it of yuh & since before i did have like a phobia of elevators but now slowly gonna b killing this fear thx 4 reminding me dat i'm in control makes me feel so much better & dat i gotta b brave thx  god bless yuh rootd company & thx 4 looking out 4 us out here.,"
Generate minimum of five labels for Non Functional Requirements (with very concise description) that are mentioned in the following mental health app review. Do not list general NFRs if the review does not include them.
Desired format: {label}: {description}
Review: """"""
just downloaded rootd today & i think itz such a cute lil app & it helped meh feel calm itz helping my anxiety i highly recommend it to others who live alone try it gives yuh nice  info of anxiety so yuh can really understand what it really is & i learned dat it's no big deal & dat there's nothing to b afraid of but only a natural sensation dat comes & goes but dat yuh have to b brave because yuh r in control of it not it of yuh & since before i did have like a phobia of elevators but now slowly gonna b killing this fear thx 4 reminding me dat i'm in control makes me feel so much better & dat i gotta b brave thx  god bless yuh rootd company & thx 4 looking out 4 us out here.
""""""""","[<OpenAIObject at 0x7f0336d319f0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Usability: The app should be easy to use and navigate for individuals with anxiety.\n2. Performance: The app should respond quickly and efficiently to user interactions to avoid causing additional stress or anxiety.\n3. Reliability: The app should function consistently and without errors to ensure users can rely on it for support.\n4. Security: The app should protect user data and maintain privacy to prevent any potential breaches that could cause harm or anxiety.\n5. Accessibility: The app should be accessible to individuals with disabilities or impairments to ensure everyone can benefit from its features."",
    ""role"": ""assistant""
  }
}]","['1. Usability: The app should be easy to use and navigate for individuals with anxiety.', '2. Performance: The app should respond quickly and efficiently to user interactions to avoid causing additional stress or anxiety.', '3. Reliability: The app should function consistently and without errors to ensure users can rely on it for support.', '4. Security: The app should protect user data and maintain privacy to prevent any potential breaches that could cause harm or anxiety.', '5. Accessibility: The app should be accessible to individuals with disabilities or impairments to ensure everyone can benefit from its features.']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements (with very concise description) that are mentioned in the following mental health app review. Do not list general NFRs if the review does not include them.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","i accidentally downloaded it(via my niece) and now i got an update saying i am now a proud owner of the yearly subscription... this app does not make you calm i am highly irritated that they use marketing to little kids to get their sales.. she claimed she accidentally clicked and installed the app while watching ryan, she's only 3 going on 4 so i do not entirely blame her(although i have strictly told her not to download things from the ads she sees for these reasons) but i do understand the terms and services of apple and how they don't let you make returns on stuff like this, it's highly irritating and ironic that an app called calm would make me so dang agitated... please do not have a mindset of a 3 year old when downloading this or you'll pay the price of $75 as i have... 

merry christmas/ happy holidays :)) 

(i've copied and pasted into my notes incase this review is removed for any reason on distributers or apple's side)","
Generate minimum of five labels for Non Functional Requirements (with very concise description) that are mentioned in the following mental health app review. Do not list general NFRs if the review does not include them.
Desired format: {label}: {description}
Review: """"""
i accidentally downloaded it(via my niece) and now i got an update saying i am now a proud owner of the yearly subscription... this app does not make you calm i am highly irritated that they use marketing to little kids to get their sales.. she claimed she accidentally clicked and installed the app while watching ryan, she's only 3 going on 4 so i do not entirely blame her(although i have strictly told her not to download things from the ads she sees for these reasons) but i do understand the terms and services of apple and how they don't let you make returns on stuff like this, it's highly irritating and ironic that an app called calm would make me so dang agitated... please do not have a mindset of a 3 year old when downloading this or you'll pay the price of $75 as i have... 

merry christmas/ happy holidays :)) 

(i've copied and pasted into my notes incase this review is removed for any reason on distributers or apple's side)
""""""""","[<OpenAIObject at 0x7f0336d31400> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Usability: The app should not be easily accessible to children to prevent accidental purchases.\n2. Security: The app should have a secure payment system to prevent unauthorized purchases.\n3. Reliability: The app should not have glitches or errors that result in accidental purchases.\n4. Performance: The app should provide a calming experience as advertised.\n5. Supportability: The app should have clear terms and conditions regarding refunds and returns."",
    ""role"": ""assistant""
  }
}]","['1. Usability: The app should not be easily accessible to children to prevent accidental purchases.', '2. Security: The app should have a secure payment system to prevent unauthorized purchases.', '3. Reliability: The app should not have glitches or errors that result in accidental purchases.', '4. Performance: The app should provide a calming experience as advertised.', '5. Supportability: The app should have clear terms and conditions regarding refunds and returns.']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements (with very concise description) that are mentioned in the following mental health app review. Do not list general NFRs if the review does not include them.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","this app is for anxiety and to help people who have trouble falling asleep and i can't believe that an app that is supposed to help with things like that that people can't control makes you pay $70 a year you might think that these people would be generous and let you at least have a few things unlocked but no literally every single thing is locked and you can't use it unless you have the stupid extremely expensive subscription again this is especially insane because this is an app for people who have trouble falling asleep or anxiety and you make them pay for something they can't control i feel like this app should be free or at least make it a $10 app because this is insane how much money you want people to pay so they can have better control on something that's really hard for them to handle what you're doing is greedy, selfish, and rude i honestly don't know why there are so many good reviews about this because you literally cannot use anything without the expensive subscription other people might have enough money to pay for something like this but i definitely don't have enough money to pay for something this expensive","
Generate minimum of five labels for Non Functional Requirements (with very concise description) that are mentioned in the following mental health app review. Do not list general NFRs if the review does not include them.
Desired format: {label}: {description}
Review: """"""
this app is for anxiety and to help people who have trouble falling asleep and i can't believe that an app that is supposed to help with things like that that people can't control makes you pay $70 a year you might think that these people would be generous and let you at least have a few things unlocked but no literally every single thing is locked and you can't use it unless you have the stupid extremely expensive subscription again this is especially insane because this is an app for people who have trouble falling asleep or anxiety and you make them pay for something they can't control i feel like this app should be free or at least make it a $10 app because this is insane how much money you want people to pay so they can have better control on something that's really hard for them to handle what you're doing is greedy, selfish, and rude i honestly don't know why there are so many good reviews about this because you literally cannot use anything without the expensive subscription other people might have enough money to pay for something like this but i definitely don't have enough money to pay for something this expensive
""""""""","[<OpenAIObject at 0x7f0336cf5400> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Cost: The app requires a subscription that is too expensive for some users.\n2. Usability: The app restricts access to all features unless the user pays for a subscription.\n3. Performance: The app is not effective in helping users with anxiety and sleep issues.\n4. Reliability: The app does not consistently provide the promised benefits to users.\n5. Security: The app may not adequately protect user data and privacy."",
    ""role"": ""assistant""
  }
}]","['1. Cost: The app requires a subscription that is too expensive for some users.', '2. Usability: The app restricts access to all features unless the user pays for a subscription.', '3. Performance: The app is not effective in helping users with anxiety and sleep issues.', '4. Reliability: The app does not consistently provide the promised benefits to users.', '5. Security: The app may not adequately protect user data and privacy.']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements (with very concise description) that are mentioned in the following mental health app review. Do not list general NFRs if the review does not include them.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","i've been using betterhelp for maybe six months now i have a student discount but even with the student discount it is pricey but i believe it is worth it you can switch your therapist if you don't like them which i do like a lot you can video chat text or phone call your therapist and share journal entries which i love you can also attend virtual meetings about other topics that you're interested in like group therapy
i went through two other therapist but i finally found the perfect one the other ones are really good though just not for me what issue i do have is that when i'm doing a voice call session if i hit mute and unmute then it keeps going back on mute every five seconds which is pretty annoying i've already reported it hopefully they can fix that bug soon but other than that the app functionality is good","
Generate minimum of five labels for Non Functional Requirements (with very concise description) that are mentioned in the following mental health app review. Do not list general NFRs if the review does not include them.
Desired format: {label}: {description}
Review: """"""
i've been using betterhelp for maybe six months now i have a student discount but even with the student discount it is pricey but i believe it is worth it you can switch your therapist if you don't like them which i do like a lot you can video chat text or phone call your therapist and share journal entries which i love you can also attend virtual meetings about other topics that you're interested in like group therapy
i went through two other therapist but i finally found the perfect one the other ones are really good though just not for me what issue i do have is that when i'm doing a voice call session if i hit mute and unmute then it keeps going back on mute every five seconds which is pretty annoying i've already reported it hopefully they can fix that bug soon but other than that the app functionality is good
""""""""","[<OpenAIObject at 0x7f0336cf5680> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Reliability: The app should not have any bugs that interrupt the user's therapy sessions.\n2. Usability: The app should be easy to navigate and use for all users.\n3. Performance: The app should be able to handle video chat and phone calls without any lag or delay.\n4. Security: The app should ensure the privacy and confidentiality of user data and therapy sessions.\n5. Compatibility: The app should be compatible with different devices and operating systems."",
    ""role"": ""assistant""
  }
}]","[""1. Reliability: The app should not have any bugs that interrupt the user's therapy sessions."", '2. Usability: The app should be easy to navigate and use for all users.', '3. Performance: The app should be able to handle video chat and phone calls without any lag or delay.', '4. Security: The app should ensure the privacy and confidentiality of user data and therapy sessions.', '5. Compatibility: The app should be compatible with different devices and operating systems.']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements (with very concise description) that are mentioned in the following mental health app review. Do not list general NFRs if the review does not include them.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","i went to the website and tried to sign up for a basic membership or trial but the site literally will not let you 
it skips over basic membership and charges you $65 for a year to try it and then  says it won't refund any of your money and that you have to contact apple support and beg them for a refund and maybe apple will refund and maybe not 

the same two ppl narrate pretty much everything i tried on the app and the woman tamara's voice is extremely annoying 
i can't meditate to that 
i tried to get a refund and there's no way to contact anyone so think twice before you spend 65 dollars to try something because you can not get refund 
i will be calling credit card company tomorrow to do a charge back 
i used the app for about 30 minutes so i think a month charge would be fair but nope it's $65 .","
Generate minimum of five labels for Non Functional Requirements (with very concise description) that are mentioned in the following mental health app review. Do not list general NFRs if the review does not include them.
Desired format: {label}: {description}
Review: """"""
i went to the website and tried to sign up for a basic membership or trial but the site literally will not let you 
it skips over basic membership and charges you $65 for a year to try it and then  says it won't refund any of your money and that you have to contact apple support and beg them for a refund and maybe apple will refund and maybe not 

the same two ppl narrate pretty much everything i tried on the app and the woman tamara's voice is extremely annoying 
i can't meditate to that 
i tried to get a refund and there's no way to contact anyone so think twice before you spend 65 dollars to try something because you can not get refund 
i will be calling credit card company tomorrow to do a charge back 
i used the app for about 30 minutes so i think a month charge would be fair but nope it's $65 .
""""""""","[<OpenAIObject at 0x7f0336d31f90> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Usability: The website should allow users to sign up for basic membership or trial without any technical issues.\n2. Refund Policy: The app should have a clear and accessible refund policy for users who are not satisfied with the service.\n3. Voice Quality: The app should have a variety of narrators with pleasant voices to ensure that users can meditate comfortably.\n4. Customer Support: The app should have a customer support system in place to assist users with any issues or concerns they may have.\n5. Pricing: The app should offer reasonable pricing options for users, including monthly charges and the ability to try the service before committing to a full year."",
    ""role"": ""assistant""
  }
}]","['1. Usability: The website should allow users to sign up for basic membership or trial without any technical issues.', '2. Refund Policy: The app should have a clear and accessible refund policy for users who are not satisfied with the service.', '3. Voice Quality: The app should have a variety of narrators with pleasant voices to ensure that users can meditate comfortably.', '4. Customer Support: The app should have a customer support system in place to assist users with any issues or concerns they may have.', '5. Pricing: The app should offer reasonable pricing options for users, including monthly charges and the ability to try the service before committing to a full year.']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements (with very concise description) that are mentioned in the following mental health app review. Do not list general NFRs if the review does not include them.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","even though mediation sounds dumb' for some people, headspace is the very opposite; it gives me mindfulness tips and follow up with a mediation, making the mindfulness lesson more memorable, and what i learned so far (and all of them are so freaking helpful) are: observe thoughts instead of reacting and getting carried away with them, if we're reacting to thoughts we are keeping the emotion alive, adding more fuel to the fire; let's thoughts come and go, with a gentle or effortless focus; having a daydream sense of mind let's us take things less seriously and it gives us more freedom, and sooooo many more (i can't remember all at the moment).","
Generate minimum of five labels for Non Functional Requirements (with very concise description) that are mentioned in the following mental health app review. Do not list general NFRs if the review does not include them.
Desired format: {label}: {description}
Review: """"""
even though mediation sounds dumb' for some people, headspace is the very opposite; it gives me mindfulness tips and follow up with a mediation, making the mindfulness lesson more memorable, and what i learned so far (and all of them are so freaking helpful) are: observe thoughts instead of reacting and getting carried away with them, if we're reacting to thoughts we are keeping the emotion alive, adding more fuel to the fire; let's thoughts come and go, with a gentle or effortless focus; having a daydream sense of mind let's us take things less seriously and it gives us more freedom, and sooooo many more (i can't remember all at the moment).
""""""""","[<OpenAIObject at 0x7f0336cf5b80> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Usability: The app should be easy to navigate and use for all users, regardless of their level of experience with meditation.\n2. Performance: The app should be able to handle a large number of users without experiencing any lag or downtime.\n3. Reliability: The app should be able to consistently provide accurate and helpful mindfulness tips and meditations.\n4. Security: The app should protect user data and ensure that all personal information is kept confidential.\n5. Accessibility: The app should be accessible to users with disabilities, such as those who are visually impaired or have limited mobility."",
    ""role"": ""assistant""
  }
}]","['1. Usability: The app should be easy to navigate and use for all users, regardless of their level of experience with meditation.', '2. Performance: The app should be able to handle a large number of users without experiencing any lag or downtime.', '3. Reliability: The app should be able to consistently provide accurate and helpful mindfulness tips and meditations.', '4. Security: The app should protect user data and ensure that all personal information is kept confidential.', '5. Accessibility: The app should be accessible to users with disabilities, such as those who are visually impaired or have limited mobility.']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements (with very concise description) that are mentioned in the following mental health app review. Do not list general NFRs if the review does not include them.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","as a marketing, public relations and communications agency owner and consultant i have worked with many hundreds of journalists and writers and can say whole heartedly that dan harris is among the best interviewers - he knows the subjects so well he is able to distill scientific and professional jargon into simple language for the novice or beginner student of mindfulness, meditation and other subjects  which have proven evidence based results for helping us heal and evolve our self care toward a more joy filled and less stressful life.","
Generate minimum of five labels for Non Functional Requirements (with very concise description) that are mentioned in the following mental health app review. Do not list general NFRs if the review does not include them.
Desired format: {label}: {description}
Review: """"""
as a marketing, public relations and communications agency owner and consultant i have worked with many hundreds of journalists and writers and can say whole heartedly that dan harris is among the best interviewers - he knows the subjects so well he is able to distill scientific and professional jargon into simple language for the novice or beginner student of mindfulness, meditation and other subjects  which have proven evidence based results for helping us heal and evolve our self care toward a more joy filled and less stressful life.
""""""""","[<OpenAIObject at 0x7f0336cf5db0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Usability: The app should be easy to use for novice or beginner students of mindfulness and meditation.\n2. Performance: The app should be able to distill scientific and professional jargon into simple language for the users.\n3. Reliability: The app should provide evidence-based results for helping users heal and evolve their self-care.\n4. Security: The app should ensure the privacy and security of user data.\n5. Compatibility: The app should be compatible with different devices and operating systems."",
    ""role"": ""assistant""
  }
}]","['1. Usability: The app should be easy to use for novice or beginner students of mindfulness and meditation.', '2. Performance: The app should be able to distill scientific and professional jargon into simple language for the users.', '3. Reliability: The app should provide evidence-based results for helping users heal and evolve their self-care.', '4. Security: The app should ensure the privacy and security of user data.', '5. Compatibility: The app should be compatible with different devices and operating systems.']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements (with very concise description) that are mentioned in the following mental health app review. Do not list general NFRs if the review does not include them.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","the ai uses an excess of emojis and even the responses that are supposed to be able to be written and interpreted use them excessively

the reviews are certainly heavily inflated whether by app stores themselves or purchased reviews, any and all developer responses are scripts that they only tweak to say we assure you we x, likely to try and spread disinformation

they backlessly claim they've had the ai which is in fact a preprogrammed questionnaire tested at esteemed universities, and continuously inflate their own egos by praising themselves within the first minute of talking with the ai

as said by another reviewer, it is extraordinarily childish in behaviour, and talks patronisingly","
Generate minimum of five labels for Non Functional Requirements (with very concise description) that are mentioned in the following mental health app review. Do not list general NFRs if the review does not include them.
Desired format: {label}: {description}
Review: """"""
the ai uses an excess of emojis and even the responses that are supposed to be able to be written and interpreted use them excessively

the reviews are certainly heavily inflated whether by app stores themselves or purchased reviews, any and all developer responses are scripts that they only tweak to say we assure you we x, likely to try and spread disinformation

they backlessly claim they've had the ai which is in fact a preprogrammed questionnaire tested at esteemed universities, and continuously inflate their own egos by praising themselves within the first minute of talking with the ai

as said by another reviewer, it is extraordinarily childish in behaviour, and talks patronisingly
""""""""","[<OpenAIObject at 0x7f0336bbf4a0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. User Experience: The app's excessive use of emojis and patronizing behavior negatively impacts the user experience.\n2. Authenticity: The app's inflated reviews and scripted developer responses raise concerns about the authenticity of the app's claims and feedback.\n3. Accuracy: The app's claim of having an AI, when it is actually a preprogrammed questionnaire, raises concerns about the accuracy of the app's responses.\n4. Professionalism: The app's self-praise and ego-inflation within the first minute of interaction raises concerns about the professionalism of the app.\n5. Communication: The app's patronizing behavior and excessive use of emojis negatively impact communication with the user."",
    ""role"": ""assistant""
  }
}]","[""1. User Experience: The app's excessive use of emojis and patronizing behavior negatively impacts the user experience."", ""2. Authenticity: The app's inflated reviews and scripted developer responses raise concerns about the authenticity of the app's claims and feedback."", ""3. Accuracy: The app's claim of having an AI, when it is actually a preprogrammed questionnaire, raises concerns about the accuracy of the app's responses."", ""4. Professionalism: The app's self-praise and ego-inflation within the first minute of interaction raises concerns about the professionalism of the app."", ""5. Communication: The app's patronizing behavior and excessive use of emojis negatively impact communication with the user.""]"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements (with very concise description) that are mentioned in the following mental health app review. Do not list general NFRs if the review does not include them.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","even though a decent app there are issues
no linkage to app store purchase history 
no notification of impending renewal 
no non-automated response to inquiries 
no way to cancel via app store
says billed via apple pay but transaction doesn't show on apple pay transactions
subscription defaulted to family plan at 2x the price
unsubscribe did not issue a refund
billing terms can't be found
impossible to get a real support person to help
disputing via credit card, last resort.","
Generate minimum of five labels for Non Functional Requirements (with very concise description) that are mentioned in the following mental health app review. Do not list general NFRs if the review does not include them.
Desired format: {label}: {description}
Review: """"""
even though a decent app there are issues
no linkage to app store purchase history 
no notification of impending renewal 
no non-automated response to inquiries 
no way to cancel via app store
says billed via apple pay but transaction doesn't show on apple pay transactions
subscription defaulted to family plan at 2x the price
unsubscribe did not issue a refund
billing terms can't be found
impossible to get a real support person to help
disputing via credit card, last resort.
""""""""","[<OpenAIObject at 0x7f0336cf59a0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Billing Transparency: Lack of clear billing terms and transaction history\n2. Customer Support: No non-automated response to inquiries and difficulty in reaching a real support person\n3. Subscription Management: No notification of impending renewal, difficulty in canceling via app store, and defaulting to family plan at 2x the price\n4. Refund Policy: Unsubscribe did not issue a refund\n5. Payment Integration: Inaccurate billing information and no linkage to app store purchase history"",
    ""role"": ""assistant""
  }
}]","['1. Billing Transparency: Lack of clear billing terms and transaction history', '2. Customer Support: No non-automated response to inquiries and difficulty in reaching a real support person', '3. Subscription Management: No notification of impending renewal, difficulty in canceling via app store, and defaulting to family plan at 2x the price', '4. Refund Policy: Unsubscribe did not issue a refund', '5. Payment Integration: Inaccurate billing information and no linkage to app store purchase history']"
