params,input,prompt,generator choices,labels
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements with very concise descriptions that summarize the following investing app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}",webull has a stock lending program allows you to loan your shares to short sellers to pull in extra income - winner m1 should adopt m1 has a barrow they will lend you money based on your stock value and stock holdings useful for higher income people m1 vs public public hands down kicks m1 in the face on investing no limits 1.00 transactions more options for stocks and funds m1 slam public into the ground with its automatic investment pie you can build your own 100 stock profile on m1 and split it by % easy to rebalance holdings unlike public it's all on you at the end of the day m1 wins for being able to handle larger sums of cash simply with a click and you can pick to rebalance individual parts of your investment if you set it up as such as for fidelity and vanguard m1 lacks a bit they have no charts to display stock holdings type into each self made pie you can't view your large caps and medium caps and small caps with m1 also m1 lacks the same on bond information they also lack on showing you your overall market % based on industry m1 still has a lot of work ahead of them for details within there pies but over all m1 has a high and right idea unlike anything i've seen with time i hope m1 will adopt webull stock lending program i hope it will adopt vanguard details on holding with easy views on sector and charts i hope m1 adopt fidelity research idea with 3rd party's i also would like m1 to take it further and allow and auto pie sell based on % not only a buy option i would like to see m1 barrow offer a fixed rate option not only variable rate i would like to see a specific chart for each pie i would like a tool to compare pies and to other etfs based on current and past years using the self made pies i would like to see m1 offer 6 automatic trades not only 5 i would like to see our 100 stock limit adjusted to a 200 limit for people who hold high balance profiles give us something to aim for!,"
Generate minimum of five labels for Non Functional Requirements with very concise descriptions that summarize the following investing app review.
Desired format: {label}: {description}
Review: """"""
webull has a stock lending program allows you to loan your shares to short sellers to pull in extra income - winner m1 should adopt m1 has a barrow they will lend you money based on your stock value and stock holdings useful for higher income people m1 vs public public hands down kicks m1 in the face on investing no limits 1.00 transactions more options for stocks and funds m1 slam public into the ground with its automatic investment pie you can build your own 100 stock profile on m1 and split it by % easy to rebalance holdings unlike public it's all on you at the end of the day m1 wins for being able to handle larger sums of cash simply with a click and you can pick to rebalance individual parts of your investment if you set it up as such as for fidelity and vanguard m1 lacks a bit they have no charts to display stock holdings type into each self made pie you can't view your large caps and medium caps and small caps with m1 also m1 lacks the same on bond information they also lack on showing you your overall market % based on industry m1 still has a lot of work ahead of them for details within there pies but over all m1 has a high and right idea unlike anything i've seen with time i hope m1 will adopt webull stock lending program i hope it will adopt vanguard details on holding with easy views on sector and charts i hope m1 adopt fidelity research idea with 3rd party's i also would like m1 to take it further and allow and auto pie sell based on % not only a buy option i would like to see m1 barrow offer a fixed rate option not only variable rate i would like to see a specific chart for each pie i would like a tool to compare pies and to other etfs based on current and past years using the self made pies i would like to see m1 offer 6 automatic trades not only 5 i would like to see our 100 stock limit adjusted to a 200 limit for people who hold high balance profiles give us something to aim for!
""""""""","[<OpenAIObject at 0x7f0336fde810> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Scalability: M1 should be able to handle larger sums of cash with ease.\n2. User Interface: M1 lacks charts to display stock holdings and bond information.\n3. Performance: M1 needs to improve on showing overall market percentage based on industry.\n4. Flexibility: M1 should offer an auto pie sell based on percentage and a fixed rate option for borrowing.\n5. Customization: M1 should allow for comparison of pies and other ETFs, increase the 100 stock limit, and offer 6 automatic trades."",
    ""role"": ""assistant""
  }
}]","['1. Scalability: M1 should be able to handle larger sums of cash with ease.', '2. User Interface: M1 lacks charts to display stock holdings and bond information.', '3. Performance: M1 needs to improve on showing overall market percentage based on industry.', '4. Flexibility: M1 should offer an auto pie sell based on percentage and a fixed rate option for borrowing.', '5. Customization: M1 should allow for comparison of pies and other ETFs, increase the 100 stock limit, and offer 6 automatic trades.']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements with very concise descriptions that summarize the following investing app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","i am a disabled american man that was excited about opening an account and portfolio with gemini as with disabilities you are permitted to have any amount of unearned income such as trading
i put in a large sum and purchased some crypto 
by the next day the gemini staff notified me that my bank would not be compatible for what is needed to trade on gemini 
they said i needed an ach transferable account 
i was refunded the full amount that i deposited and all my currencies were set to 0.00
my account i thought was set to go back to a zero balance and all the trades were not awarded 
by now i'm getting annoyed 
i want to close the account but figured i could be at ease knowing all the money i put in was given back and i'm neutral 
so at the beginning of the next month about a week later my bank account gets slapped with another large bill pay putting me upside down for the month
like i said i am disabled and my source of income is small and monthly 
so after paying my rent and being stuck with a fee that i have nothing to show for no value of currency or service provided
i'm accruing numerous fees from my bank for overdraft nsf charges and i'm seeing red
gemini is responsible for this 
i emailed four or five times 
no customer service has contacted me back or resolved any of the matter
i feel taken advantage of 
knowing that this fraudulent or mistake of a charge to my account will not be resolved 
in any timely manner
and honestly i want to be compensated for the hit i took to my bank account after the account was clearly inactive and in the clear
all of a sudden cryptocurrency showed up in my portfolio as if the original minimal spending on smaller crypto's were awarded 
but my bitcoin and bitcoin bch were never awarded 
if i never put money in what gives you the liberty to withdraw from my non ach transferable account (like you said you couldn't) 
after the matter was resolved and in the past","
Generate minimum of five labels for Non Functional Requirements with very concise descriptions that summarize the following investing app review.
Desired format: {label}: {description}
Review: """"""
i am a disabled american man that was excited about opening an account and portfolio with gemini as with disabilities you are permitted to have any amount of unearned income such as trading
i put in a large sum and purchased some crypto 
by the next day the gemini staff notified me that my bank would not be compatible for what is needed to trade on gemini 
they said i needed an ach transferable account 
i was refunded the full amount that i deposited and all my currencies were set to 0.00
my account i thought was set to go back to a zero balance and all the trades were not awarded 
by now i'm getting annoyed 
i want to close the account but figured i could be at ease knowing all the money i put in was given back and i'm neutral 
so at the beginning of the next month about a week later my bank account gets slapped with another large bill pay putting me upside down for the month
like i said i am disabled and my source of income is small and monthly 
so after paying my rent and being stuck with a fee that i have nothing to show for no value of currency or service provided
i'm accruing numerous fees from my bank for overdraft nsf charges and i'm seeing red
gemini is responsible for this 
i emailed four or five times 
no customer service has contacted me back or resolved any of the matter
i feel taken advantage of 
knowing that this fraudulent or mistake of a charge to my account will not be resolved 
in any timely manner
and honestly i want to be compensated for the hit i took to my bank account after the account was clearly inactive and in the clear
all of a sudden cryptocurrency showed up in my portfolio as if the original minimal spending on smaller crypto's were awarded 
but my bitcoin and bitcoin bch were never awarded 
if i never put money in what gives you the liberty to withdraw from my non ach transferable account (like you said you couldn't) 
after the matter was resolved and in the past
""""""""","[<OpenAIObject at 0x7f0336fdea90> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Compatibility: The app should clearly state the requirements for bank accounts that are compatible with trading on the platform.\n2. Refunds: The app should have a clear and efficient refund process for users who are unable to trade due to incompatible bank accounts.\n3. Customer Service: The app should have a responsive and effective customer service team to address user concerns and resolve issues in a timely manner.\n4. Security: The app should ensure that user accounts are not vulnerable to fraudulent or unauthorized transactions.\n5. Transparency: The app should provide clear and accurate information about user account activity, including trades and fees, to avoid confusion and prevent unexpected charges."",
    ""role"": ""assistant""
  }
}]","['1. Compatibility: The app should clearly state the requirements for bank accounts that are compatible with trading on the platform.', '2. Refunds: The app should have a clear and efficient refund process for users who are unable to trade due to incompatible bank accounts.', '3. Customer Service: The app should have a responsive and effective customer service team to address user concerns and resolve issues in a timely manner.', '4. Security: The app should ensure that user accounts are not vulnerable to fraudulent or unauthorized transactions.', '5. Transparency: The app should provide clear and accurate information about user account activity, including trades and fees, to avoid confusion and prevent unexpected charges.']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements with very concise descriptions that summarize the following investing app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}",i gave one star because had to do something to proceed i downloaded this app to potentially research some stocks and to do business with fidelity i reached a point where i could create an account as i did information didn't match and directed me to call an 800 number i was then transferred over to a 401(k) department unsure why and everyone was pretty adamant about who my employer was i continuously said it was irrelevant i was just trying to research some stocks  i was told that why would i do that without a game plan was asked my intentions of opening the account no one listens after about 10 different people from that company finally someone spilled the beans and said that my social security number was attached to someone that had an employee based plan at mercy health fidelity refused to contact mercy health and have their hr department pull the initial paperwork they didn't believe that there was a breach or any fraudulent activity no one has return any calls another fidelity representative said i would need to fill out paperwork have my social security number out there again and at that point security would research the issue they basically made me feel like i was a stranger off the street trying to access someone else's account i am disgusted how poorly ive been treated how much disregard they took for the seriousness of this i was trying to believe it was just human error but now the real human error is that no one wants to follow up with the mistake if someone from fidelity actually cares enough to know i spoke with reach out to me but i have a feeling won't happen whenever has the same i don't care lazy attitude,"
Generate minimum of five labels for Non Functional Requirements with very concise descriptions that summarize the following investing app review.
Desired format: {label}: {description}
Review: """"""
i gave one star because had to do something to proceed i downloaded this app to potentially research some stocks and to do business with fidelity i reached a point where i could create an account as i did information didn't match and directed me to call an 800 number i was then transferred over to a 401(k) department unsure why and everyone was pretty adamant about who my employer was i continuously said it was irrelevant i was just trying to research some stocks  i was told that why would i do that without a game plan was asked my intentions of opening the account no one listens after about 10 different people from that company finally someone spilled the beans and said that my social security number was attached to someone that had an employee based plan at mercy health fidelity refused to contact mercy health and have their hr department pull the initial paperwork they didn't believe that there was a breach or any fraudulent activity no one has return any calls another fidelity representative said i would need to fill out paperwork have my social security number out there again and at that point security would research the issue they basically made me feel like i was a stranger off the street trying to access someone else's account i am disgusted how poorly ive been treated how much disregard they took for the seriousness of this i was trying to believe it was just human error but now the real human error is that no one wants to follow up with the mistake if someone from fidelity actually cares enough to know i spoke with reach out to me but i have a feeling won't happen whenever has the same i don't care lazy attitude
""""""""","[<OpenAIObject at 0x7f0336fde7c0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Security: App must ensure that user's personal information is protected and not linked to incorrect accounts.\n2. Usability: App must have a user-friendly interface that allows for easy account creation and stock research.\n3. Customer Service: App must have responsive and knowledgeable customer service representatives who can assist with account issues.\n4. Accuracy: App must accurately match user information to prevent errors and confusion.\n5. Privacy: App must have clear privacy policies and procedures in place to protect user data."",
    ""role"": ""assistant""
  }
}]","[""1. Security: App must ensure that user's personal information is protected and not linked to incorrect accounts."", '2. Usability: App must have a user-friendly interface that allows for easy account creation and stock research.', '3. Customer Service: App must have responsive and knowledgeable customer service representatives who can assist with account issues.', '4. Accuracy: App must accurately match user information to prevent errors and confusion.', '5. Privacy: App must have clear privacy policies and procedures in place to protect user data.']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements with very concise descriptions that summarize the following investing app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","an issue with broken watch lists on apple ipad fidelity app was finally seemingly resolved after me complaining weekly via app feedback for the past 52 weeks every other day or so... and monthly via their representatives who are incredibly helpful when it comes to placing the trades etc, but they seem to be powerless as far as escalation of the technology issues and bugs... and advocating on behalf of their customer they are helping to trade as the application does not work... but login issues keyboard switching bug is still not addressed and ignored despite me giving numerous examples of specific behavior of keyboard switching to electronic channel support and reps, the issue is now only worse as of monday, 9-27-21 i can't login on google chrome and siri without typing 1 number, watching the keyboard being switched by fidelity software code bug to letters only keyboard (naturally only apple ipad native keyboard, no 3rd party which worked for years just fine) if not for fidelity knowledgeable traders and my spare android phone where things work as expected for years, i would definitely have left fidelity.","
Generate minimum of five labels for Non Functional Requirements with very concise descriptions that summarize the following investing app review.
Desired format: {label}: {description}
Review: """"""
an issue with broken watch lists on apple ipad fidelity app was finally seemingly resolved after me complaining weekly via app feedback for the past 52 weeks every other day or so... and monthly via their representatives who are incredibly helpful when it comes to placing the trades etc, but they seem to be powerless as far as escalation of the technology issues and bugs... and advocating on behalf of their customer they are helping to trade as the application does not work... but login issues keyboard switching bug is still not addressed and ignored despite me giving numerous examples of specific behavior of keyboard switching to electronic channel support and reps, the issue is now only worse as of monday, 9-27-21 i can't login on google chrome and siri without typing 1 number, watching the keyboard being switched by fidelity software code bug to letters only keyboard (naturally only apple ipad native keyboard, no 3rd party which worked for years just fine) if not for fidelity knowledgeable traders and my spare android phone where things work as expected for years, i would definitely have left fidelity.
""""""""","[<OpenAIObject at 0x7f0336fde720> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Reliability: The app must function without breaking watch lists or login issues.\n2. Usability: The app must have a functional keyboard that does not switch unexpectedly.\n3. Compatibility: The app must work on multiple platforms, including Google Chrome and Siri.\n4. Supportability: The app must have responsive and effective customer support for technical issues.\n5. Stability: The app must not introduce new bugs or issues with updates."",
    ""role"": ""assistant""
  }
}]","['1. Reliability: The app must function without breaking watch lists or login issues.', '2. Usability: The app must have a functional keyboard that does not switch unexpectedly.', '3. Compatibility: The app must work on multiple platforms, including Google Chrome and Siri.', '4. Supportability: The app must have responsive and effective customer support for technical issues.', '5. Stability: The app must not introduce new bugs or issues with updates.']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements with very concise descriptions that summarize the following investing app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}",if i can give this no stars i wouldthis is the worst place to have your crypto first off they take money from you sane customer wallet customer refund wallet and when you ask them about it they say it's because you had attempts toadd money in funds when available well that's not the case for me at least my funds are there they just did not take them and then they took way more an exclamation amount of my then five cents a share doge coinand now the two-step authorization is a complete joke i've told many people about this app and now i regret it because they will not let me move my money and they taken so much money from me this is the worst app ever their customer service is horrible they steal they lie they cheat i worked hard for that money for them to just take it oh no not at all i guess i'm just gonna have to go to the ftc that's the federal trade commission and i hope that they ban uphold frombecause uphold does not uphold anything i need that money and they're playing with my money there at this point taking money out of me and my kids mouse that's horrible they don't resolve the issue they don't give you your money back and then they take way more they took over half of myinitial investment something needs to happen like i hate that i want to but i have to take all of my funds out of this wallet and it doesn't transfer to any other wallet so it's pretty much i'm gonna have to buy a higher price than i initially did but it will be well worth it to get my money somewhere world would be truly safe you don't have to worry about hackers because they're already hackers,"
Generate minimum of five labels for Non Functional Requirements with very concise descriptions that summarize the following investing app review.
Desired format: {label}: {description}
Review: """"""
if i can give this no stars i wouldthis is the worst place to have your crypto first off they take money from you sane customer wallet customer refund wallet and when you ask them about it they say it's because you had attempts toadd money in funds when available well that's not the case for me at least my funds are there they just did not take them and then they took way more an exclamation amount of my then five cents a share doge coinand now the two-step authorization is a complete joke i've told many people about this app and now i regret it because they will not let me move my money and they taken so much money from me this is the worst app ever their customer service is horrible they steal they lie they cheat i worked hard for that money for them to just take it oh no not at all i guess i'm just gonna have to go to the ftc that's the federal trade commission and i hope that they ban uphold frombecause uphold does not uphold anything i need that money and they're playing with my money there at this point taking money out of me and my kids mouse that's horrible they don't resolve the issue they don't give you your money back and then they take way more they took over half of myinitial investment something needs to happen like i hate that i want to but i have to take all of my funds out of this wallet and it doesn't transfer to any other wallet so it's pretty much i'm gonna have to buy a higher price than i initially did but it will be well worth it to get my money somewhere world would be truly safe you don't have to worry about hackers because they're already hackers
""""""""","[<OpenAIObject at 0x7f0336fde770> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Security: Two-step authorization is not secure\n2. Reliability: Funds are not taken and customer service is unhelpful\n3. Usability: App does not allow for easy transfer of funds to other wallets\n4. Performance: App takes more money than intended from user's account\n5. Compliance: App does not comply with federal trade commission regulations"",
    ""role"": ""assistant""
  }
}]","['1. Security: Two-step authorization is not secure', '2. Reliability: Funds are not taken and customer service is unhelpful', '3. Usability: App does not allow for easy transfer of funds to other wallets', ""4. Performance: App takes more money than intended from user's account"", '5. Compliance: App does not comply with federal trade commission regulations']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements with very concise descriptions that summarize the following investing app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}",now it   doesn't recognize me at all yes i tried to reset the password and have a code sent to my email address which never came many hours later  i started off with $1000 then after all of the fees i had to pay in order  to buy usdt through moonpay on your app i was left with $906.80 that has now disappeared this app is just a total scam and yes i've contacted support that's a total scam to i've even been on so-called live chats i swear to god every time i attempted the process i would start off as the 20th even 30th in the cue and i would wait patiently all the way down to as close number 3 in the cue and each time you guys would booth me out of the cue lol and you guys even had the audacity to ask me to rate the chat right in the middle of me waiting to speak to someone which i never spoke to a single human being  just a friggin scam  don't get conned out of your money guys .you guys get one star for being so sophisticated  with your scheme,"
Generate minimum of five labels for Non Functional Requirements with very concise descriptions that summarize the following investing app review.
Desired format: {label}: {description}
Review: """"""
now it   doesn't recognize me at all yes i tried to reset the password and have a code sent to my email address which never came many hours later  i started off with $1000 then after all of the fees i had to pay in order  to buy usdt through moonpay on your app i was left with $906.80 that has now disappeared this app is just a total scam and yes i've contacted support that's a total scam to i've even been on so-called live chats i swear to god every time i attempted the process i would start off as the 20th even 30th in the cue and i would wait patiently all the way down to as close number 3 in the cue and each time you guys would booth me out of the cue lol and you guys even had the audacity to ask me to rate the chat right in the middle of me waiting to speak to someone which i never spoke to a single human being  just a friggin scam  don't get conned out of your money guys .you guys get one star for being so sophisticated  with your scheme
""""""""","[<OpenAIObject at 0x7f0336fdef90> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Reliability: The app should recognize users and allow them to reset their password and receive email codes promptly.\n2. Security: The app should not scam users out of their money and protect their financial information from fraud.\n3. Performance: The app should not have long wait times or boot users out of the queue during live chats with support.\n4. Usability: The app should not have hidden fees that significantly reduce the amount of money users have to invest.\n5. Supportability: The app should have a functional support system that allows users to speak with a human being and resolve issues promptly."",
    ""role"": ""assistant""
  }
}]","['1. Reliability: The app should recognize users and allow them to reset their password and receive email codes promptly.', '2. Security: The app should not scam users out of their money and protect their financial information from fraud.', '3. Performance: The app should not have long wait times or boot users out of the queue during live chats with support.', '4. Usability: The app should not have hidden fees that significantly reduce the amount of money users have to invest.', '5. Supportability: The app should have a functional support system that allows users to speak with a human being and resolve issues promptly.']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements with very concise descriptions that summarize the following investing app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}",they show you what they want you to see and hide what they don't want you too see i've been using stash for about 6months now and one dayi decided to research deeper more into them in the company and overall in my opinion stash isn't much horrible they are just looking after theirs own self not us as the investors so you can call them i guess more so of a greed financial institution and they control all the finances once you linked your bank your f***** i had to close my bank account because they would not quit withdrawing my money and they really don't offer any type modification you can even do neither can you view any information that you have accessible you have to search really hard its like they hide it from you and also these other comments posted arnt just hater they're customer service is like a boy i've tried to contact them numerous of times only to be told the same thing in a different text with no help and the f&q are irrelevant to anything with a problem so my real overall view is that stash is @** no offense this is just a investment place to get started but don't not put real large money into stash or you'll never see it again warning look deeper into them on researching about they're hidden tricks you'll see for yourself they arnt for helping people,"
Generate minimum of five labels for Non Functional Requirements with very concise descriptions that summarize the following investing app review.
Desired format: {label}: {description}
Review: """"""
they show you what they want you to see and hide what they don't want you too see i've been using stash for about 6months now and one dayi decided to research deeper more into them in the company and overall in my opinion stash isn't much horrible they are just looking after theirs own self not us as the investors so you can call them i guess more so of a greed financial institution and they control all the finances once you linked your bank your f***** i had to close my bank account because they would not quit withdrawing my money and they really don't offer any type modification you can even do neither can you view any information that you have accessible you have to search really hard its like they hide it from you and also these other comments posted arnt just hater they're customer service is like a boy i've tried to contact them numerous of times only to be told the same thing in a different text with no help and the f&q are irrelevant to anything with a problem so my real overall view is that stash is @** no offense this is just a investment place to get started but don't not put real large money into stash or you'll never see it again warning look deeper into them on researching about they're hidden tricks you'll see for yourself they arnt for helping people
""""""""","[<OpenAIObject at 0x7f0336d2d9f0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Transparency: Lack of clear and accessible information for investors\n2. Reliability: Issues with unauthorized withdrawals and lack of control over finances\n3. Customer Support: Poor quality of customer service and unhelpful FAQs\n4. Security: Concerns about the safety and protection of personal and financial information\n5. Usability: Difficulty in navigating the app and finding relevant information"",
    ""role"": ""assistant""
  }
}]","['1. Transparency: Lack of clear and accessible information for investors', '2. Reliability: Issues with unauthorized withdrawals and lack of control over finances', '3. Customer Support: Poor quality of customer service and unhelpful FAQs', '4. Security: Concerns about the safety and protection of personal and financial information', '5. Usability: Difficulty in navigating the app and finding relevant information']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements with very concise descriptions that summarize the following investing app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}",- the selection of stocks and etfs is quite good -the first thing i noticed is that there's no individual history for buying and selling as well as dividends for individual stocks -second the chart is ok but doesn't really accurately portray pricing movements -i think my rating could've been somewhere between three and four stars except for this one fact when you sell stock and try to withdraw back to your account there is literally a glacial pace- example recently sold several stocks and etfs had to wait seven business days for it to change status from unsettled cash' to available to withdraw' status and only after i emailed the service desk did it magically shift so i could withdraw; once withdraw via ach was selected it just sits there under pending' status without posting-i guess i'm supposed to email again to remind public to take care of processing my withdraw.,"
Generate minimum of five labels for Non Functional Requirements with very concise descriptions that summarize the following investing app review.
Desired format: {label}: {description}
Review: """"""
- the selection of stocks and etfs is quite good -the first thing i noticed is that there's no individual history for buying and selling as well as dividends for individual stocks -second the chart is ok but doesn't really accurately portray pricing movements -i think my rating could've been somewhere between three and four stars except for this one fact when you sell stock and try to withdraw back to your account there is literally a glacial pace- example recently sold several stocks and etfs had to wait seven business days for it to change status from unsettled cash' to available to withdraw' status and only after i emailed the service desk did it magically shift so i could withdraw; once withdraw via ach was selected it just sits there under pending' status without posting-i guess i'm supposed to email again to remind public to take care of processing my withdraw.
""""""""","[<OpenAIObject at 0x7f0336d25a90> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Performance: App must process transactions in a timely manner\n2. Accuracy: Charts must accurately reflect pricing movements\n3. History: App must provide individual history for buying, selling, and dividends\n4. Selection: App must offer a good selection of stocks and ETFs\n5. Customer Service: App must have responsive customer service for transaction issues"",
    ""role"": ""assistant""
  }
}]","['1. Performance: App must process transactions in a timely manner', '2. Accuracy: Charts must accurately reflect pricing movements', '3. History: App must provide individual history for buying, selling, and dividends', '4. Selection: App must offer a good selection of stocks and ETFs', '5. Customer Service: App must have responsive customer service for transaction issues']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements with very concise descriptions that summarize the following investing app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","a letter was written to acting attorney general monty wilkinson from a member of congress which reveals in paragraph 3 that melvin capital management is owned by the parent company citadel llc which, according to bloomberg report, gave robinhood roughly 40% of their revenue knowing the involvement citadel has with robinhood it is clear that the actions taken today were motivated by anti-competitive reasons not for concerns of volatility claimed by robinhood because of this blatant conflict of interest and obvious monopolistic activity they are calling for an immediate investigation by the u.s department of justice in robinhood and the hedge fund citadel llc don't use a platform like this that obviously doesn't have your best interest at heart","
Generate minimum of five labels for Non Functional Requirements with very concise descriptions that summarize the following investing app review.
Desired format: {label}: {description}
Review: """"""
a letter was written to acting attorney general monty wilkinson from a member of congress which reveals in paragraph 3 that melvin capital management is owned by the parent company citadel llc which, according to bloomberg report, gave robinhood roughly 40% of their revenue knowing the involvement citadel has with robinhood it is clear that the actions taken today were motivated by anti-competitive reasons not for concerns of volatility claimed by robinhood because of this blatant conflict of interest and obvious monopolistic activity they are calling for an immediate investigation by the u.s department of justice in robinhood and the hedge fund citadel llc don't use a platform like this that obviously doesn't have your best interest at heart
""""""""","[<OpenAIObject at 0x7f0336fea950> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Transparency: The app must provide clear and accurate information about ownership and revenue sources.\n2. Conflict of Interest: The app must not engage in activities that create a conflict of interest for its users.\n3. Anti-Competitive Behavior: The app must not engage in anti-competitive behavior that harms its users or other market participants.\n4. Monopolistic Activity: The app must not engage in monopolistic activity that limits competition and harms its users.\n5. Regulatory Compliance: The app must comply with all relevant laws and regulations, including those related to transparency, conflict of interest, anti-competitive behavior, and monopolistic activity."",
    ""role"": ""assistant""
  }
}]","['1. Transparency: The app must provide clear and accurate information about ownership and revenue sources.', '2. Conflict of Interest: The app must not engage in activities that create a conflict of interest for its users.', '3. Anti-Competitive Behavior: The app must not engage in anti-competitive behavior that harms its users or other market participants.', '4. Monopolistic Activity: The app must not engage in monopolistic activity that limits competition and harms its users.', '5. Regulatory Compliance: The app must comply with all relevant laws and regulations, including those related to transparency, conflict of interest, anti-competitive behavior, and monopolistic activity.']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements with very concise descriptions that summarize the following investing app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}",have something in the home display where it calculates and shows your current portfolio's yearly income from dividends and maybe a section with a graph to show that growth or maybe a bar graph were you can compare the dividend income from one year to another by month for dividend investors so they don't have to use third party programs to track it and can quickly see their approximate yearly dividend income and maybe you could come out with something like a drip loyalty plan where so that if they agree to use drip only that they get a percentage off of those shares from it because if you already know so much is going through to that stock maybe you can plan for this in advance by getting those from the market makers in bulk for cheaper because you know those dividend drip payouts boost that stocks volume,"
Generate minimum of five labels for Non Functional Requirements with very concise descriptions that summarize the following investing app review.
Desired format: {label}: {description}
Review: """"""
have something in the home display where it calculates and shows your current portfolio's yearly income from dividends and maybe a section with a graph to show that growth or maybe a bar graph were you can compare the dividend income from one year to another by month for dividend investors so they don't have to use third party programs to track it and can quickly see their approximate yearly dividend income and maybe you could come out with something like a drip loyalty plan where so that if they agree to use drip only that they get a percentage off of those shares from it because if you already know so much is going through to that stock maybe you can plan for this in advance by getting those from the market makers in bulk for cheaper because you know those dividend drip payouts boost that stocks volume
""""""""","[<OpenAIObject at 0x7f0336fc2c70> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Display of Portfolio Income: App should display current portfolio's yearly income from dividends in the home screen.\n2. Graphical Representation: App should have a graph or bar chart to show growth and comparison of dividend income from one year to another.\n3. In-App Tracking: App should provide in-app tracking of dividend income to avoid the use of third-party programs.\n4. Drip Loyalty Plan: App should offer a loyalty plan for users who agree to use drip only, with a percentage off on shares.\n5. Bulk Purchase Planning: App should allow users to plan for bulk purchase of stocks with high dividend drip payouts to boost the stock's volume."",
    ""role"": ""assistant""
  }
}]","[""1. Display of Portfolio Income: App should display current portfolio's yearly income from dividends in the home screen."", '2. Graphical Representation: App should have a graph or bar chart to show growth and comparison of dividend income from one year to another.', '3. In-App Tracking: App should provide in-app tracking of dividend income to avoid the use of third-party programs.', '4. Drip Loyalty Plan: App should offer a loyalty plan for users who agree to use drip only, with a percentage off on shares.', ""5. Bulk Purchase Planning: App should allow users to plan for bulk purchase of stocks with high dividend drip payouts to boost the stock's volume.""]"
