params,input,prompt,generator choices,labels
"{'prefix': '\nGenerate minimum of five labels (two to three words) with very concise descriptions that best summarize the following investing app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}",webull has a stock lending program allows you to loan your shares to short sellers to pull in extra income - winner m1 should adopt m1 has a barrow they will lend you money based on your stock value and stock holdings useful for higher income people m1 vs public public hands down kicks m1 in the face on investing no limits 1.00 transactions more options for stocks and funds m1 slam public into the ground with its automatic investment pie you can build your own 100 stock profile on m1 and split it by % easy to rebalance holdings unlike public it's all on you at the end of the day m1 wins for being able to handle larger sums of cash simply with a click and you can pick to rebalance individual parts of your investment if you set it up as such as for fidelity and vanguard m1 lacks a bit they have no charts to display stock holdings type into each self made pie you can't view your large caps and medium caps and small caps with m1 also m1 lacks the same on bond information they also lack on showing you your overall market % based on industry m1 still has a lot of work ahead of them for details within there pies but over all m1 has a high and right idea unlike anything i've seen with time i hope m1 will adopt webull stock lending program i hope it will adopt vanguard details on holding with easy views on sector and charts i hope m1 adopt fidelity research idea with 3rd party's i also would like m1 to take it further and allow and auto pie sell based on % not only a buy option i would like to see m1 barrow offer a fixed rate option not only variable rate i would like to see a specific chart for each pie i would like a tool to compare pies and to other etfs based on current and past years using the self made pies i would like to see m1 offer 6 automatic trades not only 5 i would like to see our 100 stock limit adjusted to a 200 limit for people who hold high balance profiles give us something to aim for!,"
Generate minimum of five labels (two to three words) with very concise descriptions that best summarize the following investing app review.
Desired format: {label}: {description}
Review: """"""
webull has a stock lending program allows you to loan your shares to short sellers to pull in extra income - winner m1 should adopt m1 has a barrow they will lend you money based on your stock value and stock holdings useful for higher income people m1 vs public public hands down kicks m1 in the face on investing no limits 1.00 transactions more options for stocks and funds m1 slam public into the ground with its automatic investment pie you can build your own 100 stock profile on m1 and split it by % easy to rebalance holdings unlike public it's all on you at the end of the day m1 wins for being able to handle larger sums of cash simply with a click and you can pick to rebalance individual parts of your investment if you set it up as such as for fidelity and vanguard m1 lacks a bit they have no charts to display stock holdings type into each self made pie you can't view your large caps and medium caps and small caps with m1 also m1 lacks the same on bond information they also lack on showing you your overall market % based on industry m1 still has a lot of work ahead of them for details within there pies but over all m1 has a high and right idea unlike anything i've seen with time i hope m1 will adopt webull stock lending program i hope it will adopt vanguard details on holding with easy views on sector and charts i hope m1 adopt fidelity research idea with 3rd party's i also would like m1 to take it further and allow and auto pie sell based on % not only a buy option i would like to see m1 barrow offer a fixed rate option not only variable rate i would like to see a specific chart for each pie i would like a tool to compare pies and to other etfs based on current and past years using the self made pies i would like to see m1 offer 6 automatic trades not only 5 i would like to see our 100 stock limit adjusted to a 200 limit for people who hold high balance profiles give us something to aim for!
""""""""","[<OpenAIObject at 0x7fc669c145e0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nStock Lending: Loan shares to short sellers.\nAutomatic Investing: Build own portfolio.\nResearch: 3rd party info.\nRebalancing: Adjust holdings.\nCharts: View stock holdings.""
}]","['Stock Lending: Loan shares to short sellers.', 'Automatic Investing: Build own portfolio.', 'Research: 3rd party info.', 'Rebalancing: Adjust holdings.', 'Charts: View stock holdings.']"
"{'prefix': '\nGenerate minimum of five labels (two to three words) with very concise descriptions that best summarize the following investing app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","i am a disabled american man that was excited about opening an account and portfolio with gemini as with disabilities you are permitted to have any amount of unearned income such as trading
i put in a large sum and purchased some crypto 
by the next day the gemini staff notified me that my bank would not be compatible for what is needed to trade on gemini 
they said i needed an ach transferable account 
i was refunded the full amount that i deposited and all my currencies were set to 0.00
my account i thought was set to go back to a zero balance and all the trades were not awarded 
by now i'm getting annoyed 
i want to close the account but figured i could be at ease knowing all the money i put in was given back and i'm neutral 
so at the beginning of the next month about a week later my bank account gets slapped with another large bill pay putting me upside down for the month
like i said i am disabled and my source of income is small and monthly 
so after paying my rent and being stuck with a fee that i have nothing to show for no value of currency or service provided
i'm accruing numerous fees from my bank for overdraft nsf charges and i'm seeing red
gemini is responsible for this 
i emailed four or five times 
no customer service has contacted me back or resolved any of the matter
i feel taken advantage of 
knowing that this fraudulent or mistake of a charge to my account will not be resolved 
in any timely manner
and honestly i want to be compensated for the hit i took to my bank account after the account was clearly inactive and in the clear
all of a sudden cryptocurrency showed up in my portfolio as if the original minimal spending on smaller crypto's were awarded 
but my bitcoin and bitcoin bch were never awarded 
if i never put money in what gives you the liberty to withdraw from my non ach transferable account (like you said you couldn't) 
after the matter was resolved and in the past","
Generate minimum of five labels (two to three words) with very concise descriptions that best summarize the following investing app review.
Desired format: {label}: {description}
Review: """"""
i am a disabled american man that was excited about opening an account and portfolio with gemini as with disabilities you are permitted to have any amount of unearned income such as trading
i put in a large sum and purchased some crypto 
by the next day the gemini staff notified me that my bank would not be compatible for what is needed to trade on gemini 
they said i needed an ach transferable account 
i was refunded the full amount that i deposited and all my currencies were set to 0.00
my account i thought was set to go back to a zero balance and all the trades were not awarded 
by now i'm getting annoyed 
i want to close the account but figured i could be at ease knowing all the money i put in was given back and i'm neutral 
so at the beginning of the next month about a week later my bank account gets slapped with another large bill pay putting me upside down for the month
like i said i am disabled and my source of income is small and monthly 
so after paying my rent and being stuck with a fee that i have nothing to show for no value of currency or service provided
i'm accruing numerous fees from my bank for overdraft nsf charges and i'm seeing red
gemini is responsible for this 
i emailed four or five times 
no customer service has contacted me back or resolved any of the matter
i feel taken advantage of 
knowing that this fraudulent or mistake of a charge to my account will not be resolved 
in any timely manner
and honestly i want to be compensated for the hit i took to my bank account after the account was clearly inactive and in the clear
all of a sudden cryptocurrency showed up in my portfolio as if the original minimal spending on smaller crypto's were awarded 
but my bitcoin and bitcoin bch were never awarded 
if i never put money in what gives you the liberty to withdraw from my non ach transferable account (like you said you couldn't) 
after the matter was resolved and in the past
""""""""","[<OpenAIObject at 0x7fc669c14db0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nUnresponsive CS: Unresponsive customer service.\nFraudulent Charge: Unauthorized charge to bank account.\nAccount Inactive: Account inactive when charge occurred.\nNo Value: No value of currency or service provided.\nOverdraft Fees: Accruing numerous fees from bank for overdraft.""
}]","['Unresponsive CS: Unresponsive customer service.', 'Fraudulent Charge: Unauthorized charge to bank account.', 'Account Inactive: Account inactive when charge occurred.', 'No Value: No value of currency or service provided.', 'Overdraft Fees: Accruing numerous fees from bank for overdraft.']"
"{'prefix': '\nGenerate minimum of five labels (two to three words) with very concise descriptions that best summarize the following investing app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}",i gave one star because had to do something to proceed i downloaded this app to potentially research some stocks and to do business with fidelity i reached a point where i could create an account as i did information didn't match and directed me to call an 800 number i was then transferred over to a 401(k) department unsure why and everyone was pretty adamant about who my employer was i continuously said it was irrelevant i was just trying to research some stocks  i was told that why would i do that without a game plan was asked my intentions of opening the account no one listens after about 10 different people from that company finally someone spilled the beans and said that my social security number was attached to someone that had an employee based plan at mercy health fidelity refused to contact mercy health and have their hr department pull the initial paperwork they didn't believe that there was a breach or any fraudulent activity no one has return any calls another fidelity representative said i would need to fill out paperwork have my social security number out there again and at that point security would research the issue they basically made me feel like i was a stranger off the street trying to access someone else's account i am disgusted how poorly ive been treated how much disregard they took for the seriousness of this i was trying to believe it was just human error but now the real human error is that no one wants to follow up with the mistake if someone from fidelity actually cares enough to know i spoke with reach out to me but i have a feeling won't happen whenever has the same i don't care lazy attitude,"
Generate minimum of five labels (two to three words) with very concise descriptions that best summarize the following investing app review.
Desired format: {label}: {description}
Review: """"""
i gave one star because had to do something to proceed i downloaded this app to potentially research some stocks and to do business with fidelity i reached a point where i could create an account as i did information didn't match and directed me to call an 800 number i was then transferred over to a 401(k) department unsure why and everyone was pretty adamant about who my employer was i continuously said it was irrelevant i was just trying to research some stocks  i was told that why would i do that without a game plan was asked my intentions of opening the account no one listens after about 10 different people from that company finally someone spilled the beans and said that my social security number was attached to someone that had an employee based plan at mercy health fidelity refused to contact mercy health and have their hr department pull the initial paperwork they didn't believe that there was a breach or any fraudulent activity no one has return any calls another fidelity representative said i would need to fill out paperwork have my social security number out there again and at that point security would research the issue they basically made me feel like i was a stranger off the street trying to access someone else's account i am disgusted how poorly ive been treated how much disregard they took for the seriousness of this i was trying to believe it was just human error but now the real human error is that no one wants to follow up with the mistake if someone from fidelity actually cares enough to know i spoke with reach out to me but i have a feeling won't happen whenever has the same i don't care lazy attitude
""""""""","[<OpenAIObject at 0x7fc669c14bd0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nIneptitude: Poor customer service and disregard for customer security.\nIncompetence: Inability to resolve issue and lack of follow-up.\nNegligence: No action taken to investigate potential breach.\nUnprofessionalism: Unwillingness to listen to customer.\nInsensitivity: Dismissive attitude towards customer's concerns.""
}]","['Ineptitude: Poor customer service and disregard for customer security.', 'Incompetence: Inability to resolve issue and lack of follow-up.', 'Negligence: No action taken to investigate potential breach.', 'Unprofessionalism: Unwillingness to listen to customer.', ""Insensitivity: Dismissive attitude towards customer's concerns.""]"
"{'prefix': '\nGenerate minimum of five labels (two to three words) with very concise descriptions that best summarize the following investing app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","an issue with broken watch lists on apple ipad fidelity app was finally seemingly resolved after me complaining weekly via app feedback for the past 52 weeks every other day or so... and monthly via their representatives who are incredibly helpful when it comes to placing the trades etc, but they seem to be powerless as far as escalation of the technology issues and bugs... and advocating on behalf of their customer they are helping to trade as the application does not work... but login issues keyboard switching bug is still not addressed and ignored despite me giving numerous examples of specific behavior of keyboard switching to electronic channel support and reps, the issue is now only worse as of monday, 9-27-21 i can't login on google chrome and siri without typing 1 number, watching the keyboard being switched by fidelity software code bug to letters only keyboard (naturally only apple ipad native keyboard, no 3rd party which worked for years just fine) if not for fidelity knowledgeable traders and my spare android phone where things work as expected for years, i would definitely have left fidelity.","
Generate minimum of five labels (two to three words) with very concise descriptions that best summarize the following investing app review.
Desired format: {label}: {description}
Review: """"""
an issue with broken watch lists on apple ipad fidelity app was finally seemingly resolved after me complaining weekly via app feedback for the past 52 weeks every other day or so... and monthly via their representatives who are incredibly helpful when it comes to placing the trades etc, but they seem to be powerless as far as escalation of the technology issues and bugs... and advocating on behalf of their customer they are helping to trade as the application does not work... but login issues keyboard switching bug is still not addressed and ignored despite me giving numerous examples of specific behavior of keyboard switching to electronic channel support and reps, the issue is now only worse as of monday, 9-27-21 i can't login on google chrome and siri without typing 1 number, watching the keyboard being switched by fidelity software code bug to letters only keyboard (naturally only apple ipad native keyboard, no 3rd party which worked for years just fine) if not for fidelity knowledgeable traders and my spare android phone where things work as expected for years, i would definitely have left fidelity.
""""""""","[<OpenAIObject at 0x7fc669c14f90> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nEscalation Issues: Unresolved tech issues\nCustomer Advocacy: Poor customer support\nLogin Issues: Inability to login\nKeyboard Bug: Keyboard switching bug\nFidelity Software: Unreliable software code""
}]","['Escalation Issues: Unresolved tech issues', 'Customer Advocacy: Poor customer support', 'Login Issues: Inability to login', 'Keyboard Bug: Keyboard switching bug', 'Fidelity Software: Unreliable software code']"
"{'prefix': '\nGenerate minimum of five labels (two to three words) with very concise descriptions that best summarize the following investing app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}",if i can give this no stars i wouldthis is the worst place to have your crypto first off they take money from you sane customer wallet customer refund wallet and when you ask them about it they say it's because you had attempts toadd money in funds when available well that's not the case for me at least my funds are there they just did not take them and then they took way more an exclamation amount of my then five cents a share doge coinand now the two-step authorization is a complete joke i've told many people about this app and now i regret it because they will not let me move my money and they taken so much money from me this is the worst app ever their customer service is horrible they steal they lie they cheat i worked hard for that money for them to just take it oh no not at all i guess i'm just gonna have to go to the ftc that's the federal trade commission and i hope that they ban uphold frombecause uphold does not uphold anything i need that money and they're playing with my money there at this point taking money out of me and my kids mouse that's horrible they don't resolve the issue they don't give you your money back and then they take way more they took over half of myinitial investment something needs to happen like i hate that i want to but i have to take all of my funds out of this wallet and it doesn't transfer to any other wallet so it's pretty much i'm gonna have to buy a higher price than i initially did but it will be well worth it to get my money somewhere world would be truly safe you don't have to worry about hackers because they're already hackers,"
Generate minimum of five labels (two to three words) with very concise descriptions that best summarize the following investing app review.
Desired format: {label}: {description}
Review: """"""
if i can give this no stars i wouldthis is the worst place to have your crypto first off they take money from you sane customer wallet customer refund wallet and when you ask them about it they say it's because you had attempts toadd money in funds when available well that's not the case for me at least my funds are there they just did not take them and then they took way more an exclamation amount of my then five cents a share doge coinand now the two-step authorization is a complete joke i've told many people about this app and now i regret it because they will not let me move my money and they taken so much money from me this is the worst app ever their customer service is horrible they steal they lie they cheat i worked hard for that money for them to just take it oh no not at all i guess i'm just gonna have to go to the ftc that's the federal trade commission and i hope that they ban uphold frombecause uphold does not uphold anything i need that money and they're playing with my money there at this point taking money out of me and my kids mouse that's horrible they don't resolve the issue they don't give you your money back and then they take way more they took over half of myinitial investment something needs to happen like i hate that i want to but i have to take all of my funds out of this wallet and it doesn't transfer to any other wallet so it's pretty much i'm gonna have to buy a higher price than i initially did but it will be well worth it to get my money somewhere world would be truly safe you don't have to worry about hackers because they're already hackers
""""""""","[<OpenAIObject at 0x7fc669c14540> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nFraudulent: Steals money from customers.\nUnreliable: Poor customer service, two-step authorization is a joke.\nDeceptive: Lies and cheats customers.\nUnsafe: Risk of hackers.\nInconvenient: Difficult to transfer funds.""
}]","['Fraudulent: Steals money from customers.', 'Unreliable: Poor customer service, two-step authorization is a joke.', 'Deceptive: Lies and cheats customers.', 'Unsafe: Risk of hackers.', 'Inconvenient: Difficult to transfer funds.']"
"{'prefix': '\nGenerate minimum of five labels (two to three words) with very concise descriptions that best summarize the following investing app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}",now it   doesn't recognize me at all yes i tried to reset the password and have a code sent to my email address which never came many hours later  i started off with $1000 then after all of the fees i had to pay in order  to buy usdt through moonpay on your app i was left with $906.80 that has now disappeared this app is just a total scam and yes i've contacted support that's a total scam to i've even been on so-called live chats i swear to god every time i attempted the process i would start off as the 20th even 30th in the cue and i would wait patiently all the way down to as close number 3 in the cue and each time you guys would booth me out of the cue lol and you guys even had the audacity to ask me to rate the chat right in the middle of me waiting to speak to someone which i never spoke to a single human being  just a friggin scam  don't get conned out of your money guys .you guys get one star for being so sophisticated  with your scheme,"
Generate minimum of five labels (two to three words) with very concise descriptions that best summarize the following investing app review.
Desired format: {label}: {description}
Review: """"""
now it   doesn't recognize me at all yes i tried to reset the password and have a code sent to my email address which never came many hours later  i started off with $1000 then after all of the fees i had to pay in order  to buy usdt through moonpay on your app i was left with $906.80 that has now disappeared this app is just a total scam and yes i've contacted support that's a total scam to i've even been on so-called live chats i swear to god every time i attempted the process i would start off as the 20th even 30th in the cue and i would wait patiently all the way down to as close number 3 in the cue and each time you guys would booth me out of the cue lol and you guys even had the audacity to ask me to rate the chat right in the middle of me waiting to speak to someone which i never spoke to a single human being  just a friggin scam  don't get conned out of your money guys .you guys get one star for being so sophisticated  with your scheme
""""""""","[<OpenAIObject at 0x7fc669c197c0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nScam: Unreliable app with hidden fees.\nSupport: Unresponsive and unhelpful.\nChat: Unreachable and deceptive.\nMoney: Disappearing funds.\nRating: Unjustified requests.""
}]","['Scam: Unreliable app with hidden fees.', 'Support: Unresponsive and unhelpful.', 'Chat: Unreachable and deceptive.', 'Money: Disappearing funds.', 'Rating: Unjustified requests.']"
"{'prefix': '\nGenerate minimum of five labels (two to three words) with very concise descriptions that best summarize the following investing app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}",they show you what they want you to see and hide what they don't want you too see i've been using stash for about 6months now and one dayi decided to research deeper more into them in the company and overall in my opinion stash isn't much horrible they are just looking after theirs own self not us as the investors so you can call them i guess more so of a greed financial institution and they control all the finances once you linked your bank your f***** i had to close my bank account because they would not quit withdrawing my money and they really don't offer any type modification you can even do neither can you view any information that you have accessible you have to search really hard its like they hide it from you and also these other comments posted arnt just hater they're customer service is like a boy i've tried to contact them numerous of times only to be told the same thing in a different text with no help and the f&q are irrelevant to anything with a problem so my real overall view is that stash is @** no offense this is just a investment place to get started but don't not put real large money into stash or you'll never see it again warning look deeper into them on researching about they're hidden tricks you'll see for yourself they arnt for helping people,"
Generate minimum of five labels (two to three words) with very concise descriptions that best summarize the following investing app review.
Desired format: {label}: {description}
Review: """"""
they show you what they want you to see and hide what they don't want you too see i've been using stash for about 6months now and one dayi decided to research deeper more into them in the company and overall in my opinion stash isn't much horrible they are just looking after theirs own self not us as the investors so you can call them i guess more so of a greed financial institution and they control all the finances once you linked your bank your f***** i had to close my bank account because they would not quit withdrawing my money and they really don't offer any type modification you can even do neither can you view any information that you have accessible you have to search really hard its like they hide it from you and also these other comments posted arnt just hater they're customer service is like a boy i've tried to contact them numerous of times only to be told the same thing in a different text with no help and the f&q are irrelevant to anything with a problem so my real overall view is that stash is @** no offense this is just a investment place to get started but don't not put real large money into stash or you'll never see it again warning look deeper into them on researching about they're hidden tricks you'll see for yourself they arnt for helping people
""""""""","[<OpenAIObject at 0x7fc669c19900> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nGreed-driven: Financial institution focused on own gain.\nHidden-tricks: Unclear policies and practices.\nPoor-service: Unhelpful customer service.\nNo-modification: No account changes allowed.\nNo-information: Difficult to access account info.""
}]","['Greed-driven: Financial institution focused on own gain.', 'Hidden-tricks: Unclear policies and practices.', 'Poor-service: Unhelpful customer service.', 'No-modification: No account changes allowed.', 'No-information: Difficult to access account info.']"
"{'prefix': '\nGenerate minimum of five labels (two to three words) with very concise descriptions that best summarize the following investing app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}",- the selection of stocks and etfs is quite good -the first thing i noticed is that there's no individual history for buying and selling as well as dividends for individual stocks -second the chart is ok but doesn't really accurately portray pricing movements -i think my rating could've been somewhere between three and four stars except for this one fact when you sell stock and try to withdraw back to your account there is literally a glacial pace- example recently sold several stocks and etfs had to wait seven business days for it to change status from unsettled cash' to available to withdraw' status and only after i emailed the service desk did it magically shift so i could withdraw; once withdraw via ach was selected it just sits there under pending' status without posting-i guess i'm supposed to email again to remind public to take care of processing my withdraw.,"
Generate minimum of five labels (two to three words) with very concise descriptions that best summarize the following investing app review.
Desired format: {label}: {description}
Review: """"""
- the selection of stocks and etfs is quite good -the first thing i noticed is that there's no individual history for buying and selling as well as dividends for individual stocks -second the chart is ok but doesn't really accurately portray pricing movements -i think my rating could've been somewhere between three and four stars except for this one fact when you sell stock and try to withdraw back to your account there is literally a glacial pace- example recently sold several stocks and etfs had to wait seven business days for it to change status from unsettled cash' to available to withdraw' status and only after i emailed the service desk did it magically shift so i could withdraw; once withdraw via ach was selected it just sits there under pending' status without posting-i guess i'm supposed to email again to remind public to take care of processing my withdraw.
""""""""","[<OpenAIObject at 0x7fc669c147c0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\nSelection: Good stocks/ETFs\nHistory: No individual history\nChart: OK, not accurate\nWithdrawal: Slow, requires emailing\nPending: Withdrawal stays pending""
}]","['Selection: Good stocks/ETFs', 'History: No individual history', 'Chart: OK, not accurate', 'Withdrawal: Slow, requires emailing', 'Pending: Withdrawal stays pending']"
"{'prefix': '\nGenerate minimum of five labels (two to three words) with very concise descriptions that best summarize the following investing app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","a letter was written to acting attorney general monty wilkinson from a member of congress which reveals in paragraph 3 that melvin capital management is owned by the parent company citadel llc which, according to bloomberg report, gave robinhood roughly 40% of their revenue knowing the involvement citadel has with robinhood it is clear that the actions taken today were motivated by anti-competitive reasons not for concerns of volatility claimed by robinhood because of this blatant conflict of interest and obvious monopolistic activity they are calling for an immediate investigation by the u.s department of justice in robinhood and the hedge fund citadel llc don't use a platform like this that obviously doesn't have your best interest at heart","
Generate minimum of five labels (two to three words) with very concise descriptions that best summarize the following investing app review.
Desired format: {label}: {description}
Review: """"""
a letter was written to acting attorney general monty wilkinson from a member of congress which reveals in paragraph 3 that melvin capital management is owned by the parent company citadel llc which, according to bloomberg report, gave robinhood roughly 40% of their revenue knowing the involvement citadel has with robinhood it is clear that the actions taken today were motivated by anti-competitive reasons not for concerns of volatility claimed by robinhood because of this blatant conflict of interest and obvious monopolistic activity they are calling for an immediate investigation by the u.s department of justice in robinhood and the hedge fund citadel llc don't use a platform like this that obviously doesn't have your best interest at heart
""""""""","[<OpenAIObject at 0x7fc669e02950> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nConflict of Interest: Unethical business practices.\nMonopoly: Unfair market control.\nCitadel LLC: Parent company of Melvin Capital.\nRobinhood: Platform with revenue from Citadel.\nInvestigation: DOJ inquiry into Robinhood & Citadel.""
}]","['Conflict of Interest: Unethical business practices.', 'Monopoly: Unfair market control.', 'Citadel LLC: Parent company of Melvin Capital.', 'Robinhood: Platform with revenue from Citadel.', 'Investigation: DOJ inquiry into Robinhood & Citadel.']"
"{'prefix': '\nGenerate minimum of five labels (two to three words) with very concise descriptions that best summarize the following investing app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}",have something in the home display where it calculates and shows your current portfolio's yearly income from dividends and maybe a section with a graph to show that growth or maybe a bar graph were you can compare the dividend income from one year to another by month for dividend investors so they don't have to use third party programs to track it and can quickly see their approximate yearly dividend income and maybe you could come out with something like a drip loyalty plan where so that if they agree to use drip only that they get a percentage off of those shares from it because if you already know so much is going through to that stock maybe you can plan for this in advance by getting those from the market makers in bulk for cheaper because you know those dividend drip payouts boost that stocks volume,"
Generate minimum of five labels (two to three words) with very concise descriptions that best summarize the following investing app review.
Desired format: {label}: {description}
Review: """"""
have something in the home display where it calculates and shows your current portfolio's yearly income from dividends and maybe a section with a graph to show that growth or maybe a bar graph were you can compare the dividend income from one year to another by month for dividend investors so they don't have to use third party programs to track it and can quickly see their approximate yearly dividend income and maybe you could come out with something like a drip loyalty plan where so that if they agree to use drip only that they get a percentage off of those shares from it because if you already know so much is going through to that stock maybe you can plan for this in advance by getting those from the market makers in bulk for cheaper because you know those dividend drip payouts boost that stocks volume
""""""""","[<OpenAIObject at 0x7fc669c14360> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""logprobs"": null,
  ""text"": ""\n\nDividend Tracking: Monitor dividend income.\nGraphs: Visualize portfolio growth.\nDRIP Loyalty: Discounted stock purchases.\nBulk Purchasing: Buy in bulk for cheaper.\nVolume Boosting: Increase stock volume.""
}]","['Dividend Tracking: Monitor dividend income.', 'Graphs: Visualize portfolio growth.', 'DRIP Loyalty: Discounted stock purchases.', 'Bulk Purchasing: Buy in bulk for cheaper.', 'Volume Boosting: Increase stock volume.']"
