params,input,prompt,generator choices,labels
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","had to go back & forth with customer service to get the same price two of my friends were paying... even tho i'm unemployed bc of covid & both of my friends have good jobs... first counselor i was paired with was a christian counselor (i'm jewish)... 2nd counselor was alright for a a week but then after a few weeks i realized all she ever did was ask me how i was doing every 2 days... the conversation never really went farther than that... the one time i opened up to that therapist she told me i had a choice in a particular situation where i really didn't, then she went onto brag about how she was homeless at 16 with 3 dependents... lol this counselor, according to betterhelp, supposedly had 25 years of experience & was competing with me about how bad our experiences were... so after that i switched a bunch of times bc i kept getting paired men or ppl with only a few years of experience... i know i'm a tough case... i know i need someone who can handle a lot... anyway, after the 5th or 6th switch i got frustrated over multiple misunderstandings with customer service about pricing so i asked for my money back & without any response or confirmation my subscription was cancelled 2 days later... after i had just turned in my first therapy assignment... and then i was told i wouldn't be able to get the same price i was paying before if i resigned up... so i responded by reminding them that they were in the business of helping ppl who are hurting & that their system was infuriating for someone who's just trying to get help... so then they changed their tune real quick & offered me the price i wanted but i told them i had already signed up with talkspace & immediately my experience was much better with zero frustrations!","
Generate minimum of five labels for Non Functional Requirements that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
had to go back & forth with customer service to get the same price two of my friends were paying... even tho i'm unemployed bc of covid & both of my friends have good jobs... first counselor i was paired with was a christian counselor (i'm jewish)... 2nd counselor was alright for a a week but then after a few weeks i realized all she ever did was ask me how i was doing every 2 days... the conversation never really went farther than that... the one time i opened up to that therapist she told me i had a choice in a particular situation where i really didn't, then she went onto brag about how she was homeless at 16 with 3 dependents... lol this counselor, according to betterhelp, supposedly had 25 years of experience & was competing with me about how bad our experiences were... so after that i switched a bunch of times bc i kept getting paired men or ppl with only a few years of experience... i know i'm a tough case... i know i need someone who can handle a lot... anyway, after the 5th or 6th switch i got frustrated over multiple misunderstandings with customer service about pricing so i asked for my money back & without any response or confirmation my subscription was cancelled 2 days later... after i had just turned in my first therapy assignment... and then i was told i wouldn't be able to get the same price i was paying before if i resigned up... so i responded by reminding them that they were in the business of helping ppl who are hurting & that their system was infuriating for someone who's just trying to get help... so then they changed their tune real quick & offered me the price i wanted but i told them i had already signed up with talkspace & immediately my experience was much better with zero frustrations!
""""""""","[<OpenAIObject at 0x7f0336fc1a40> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Customer Service: Inconsistent pricing and misunderstandings\n2. Counselor Matching: Religious and experience mismatches\n3. Counseling Quality: Lack of progress and inappropriate advice\n4. Subscription Management: Cancellation and re-sign up issues\n5. User Experience: Frustration and difficulty in getting help"",
    ""role"": ""assistant""
  }
}]","['1. Customer Service: Inconsistent pricing and misunderstandings', '2. Counselor Matching: Religious and experience mismatches', '3. Counseling Quality: Lack of progress and inappropriate advice', '4. Subscription Management: Cancellation and re-sign up issues', '5. User Experience: Frustration and difficulty in getting help']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}",just downloaded rootd today & i think itz such a cute lil app & it helped meh feel calm itz helping my anxiety i highly recommend it to others who live alone try it gives yuh nice  info of anxiety so yuh can really understand what it really is & i learned dat it's no big deal & dat there's nothing to b afraid of but only a natural sensation dat comes & goes but dat yuh have to b brave because yuh r in control of it not it of yuh & since before i did have like a phobia of elevators but now slowly gonna b killing this fear thx 4 reminding me dat i'm in control makes me feel so much better & dat i gotta b brave thx  god bless yuh rootd company & thx 4 looking out 4 us out here.,"
Generate minimum of five labels for Non Functional Requirements that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
just downloaded rootd today & i think itz such a cute lil app & it helped meh feel calm itz helping my anxiety i highly recommend it to others who live alone try it gives yuh nice  info of anxiety so yuh can really understand what it really is & i learned dat it's no big deal & dat there's nothing to b afraid of but only a natural sensation dat comes & goes but dat yuh have to b brave because yuh r in control of it not it of yuh & since before i did have like a phobia of elevators but now slowly gonna b killing this fear thx 4 reminding me dat i'm in control makes me feel so much better & dat i gotta b brave thx  god bless yuh rootd company & thx 4 looking out 4 us out here.
""""""""","[<OpenAIObject at 0x7f0336fc1a90> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Usability: App is easy to use and understand\n2. Educational: Provides information on anxiety and how to manage it\n3. Empowering: Encourages users to take control of their anxiety\n4. Supportive: Offers reassurance and guidance for those struggling with anxiety\n5. Motivational: Helps users overcome fears and phobias through positive messaging"",
    ""role"": ""assistant""
  }
}]","['1. Usability: App is easy to use and understand', '2. Educational: Provides information on anxiety and how to manage it', '3. Empowering: Encourages users to take control of their anxiety', '4. Supportive: Offers reassurance and guidance for those struggling with anxiety', '5. Motivational: Helps users overcome fears and phobias through positive messaging']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","i accidentally downloaded it(via my niece) and now i got an update saying i am now a proud owner of the yearly subscription... this app does not make you calm i am highly irritated that they use marketing to little kids to get their sales.. she claimed she accidentally clicked and installed the app while watching ryan, she's only 3 going on 4 so i do not entirely blame her(although i have strictly told her not to download things from the ads she sees for these reasons) but i do understand the terms and services of apple and how they don't let you make returns on stuff like this, it's highly irritating and ironic that an app called calm would make me so dang agitated... please do not have a mindset of a 3 year old when downloading this or you'll pay the price of $75 as i have... 

merry christmas/ happy holidays :)) 

(i've copied and pasted into my notes incase this review is removed for any reason on distributers or apple's side)","
Generate minimum of five labels for Non Functional Requirements that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
i accidentally downloaded it(via my niece) and now i got an update saying i am now a proud owner of the yearly subscription... this app does not make you calm i am highly irritated that they use marketing to little kids to get their sales.. she claimed she accidentally clicked and installed the app while watching ryan, she's only 3 going on 4 so i do not entirely blame her(although i have strictly told her not to download things from the ads she sees for these reasons) but i do understand the terms and services of apple and how they don't let you make returns on stuff like this, it's highly irritating and ironic that an app called calm would make me so dang agitated... please do not have a mindset of a 3 year old when downloading this or you'll pay the price of $75 as i have... 

merry christmas/ happy holidays :)) 

(i've copied and pasted into my notes incase this review is removed for any reason on distributers or apple's side)
""""""""","[<OpenAIObject at 0x7f0336d09860> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. User Interface: App should not have misleading or confusing design that leads to accidental purchases.\n2. Payment: App should have clear and transparent payment policies, with options for refunds or returns.\n3. Marketing: App should not use marketing tactics that target children or mislead users into making purchases.\n4. Functionality: App should deliver on its promise to provide a calming experience for users.\n5. Accessibility: App should have clear instructions and warnings to prevent accidental purchases, especially for young or inexperienced users."",
    ""role"": ""assistant""
  }
}]","['1. User Interface: App should not have misleading or confusing design that leads to accidental purchases.', '2. Payment: App should have clear and transparent payment policies, with options for refunds or returns.', '3. Marketing: App should not use marketing tactics that target children or mislead users into making purchases.', '4. Functionality: App should deliver on its promise to provide a calming experience for users.', '5. Accessibility: App should have clear instructions and warnings to prevent accidental purchases, especially for young or inexperienced users.']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","this app is for anxiety and to help people who have trouble falling asleep and i can't believe that an app that is supposed to help with things like that that people can't control makes you pay $70 a year you might think that these people would be generous and let you at least have a few things unlocked but no literally every single thing is locked and you can't use it unless you have the stupid extremely expensive subscription again this is especially insane because this is an app for people who have trouble falling asleep or anxiety and you make them pay for something they can't control i feel like this app should be free or at least make it a $10 app because this is insane how much money you want people to pay so they can have better control on something that's really hard for them to handle what you're doing is greedy, selfish, and rude i honestly don't know why there are so many good reviews about this because you literally cannot use anything without the expensive subscription other people might have enough money to pay for something like this but i definitely don't have enough money to pay for something this expensive","
Generate minimum of five labels for Non Functional Requirements that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
this app is for anxiety and to help people who have trouble falling asleep and i can't believe that an app that is supposed to help with things like that that people can't control makes you pay $70 a year you might think that these people would be generous and let you at least have a few things unlocked but no literally every single thing is locked and you can't use it unless you have the stupid extremely expensive subscription again this is especially insane because this is an app for people who have trouble falling asleep or anxiety and you make them pay for something they can't control i feel like this app should be free or at least make it a $10 app because this is insane how much money you want people to pay so they can have better control on something that's really hard for them to handle what you're doing is greedy, selfish, and rude i honestly don't know why there are so many good reviews about this because you literally cannot use anything without the expensive subscription other people might have enough money to pay for something like this but i definitely don't have enough money to pay for something this expensive
""""""""","[<OpenAIObject at 0x7f0336fed6d0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Cost: App requires expensive subscription for full functionality\n2. Accessibility: App is not accessible to those who cannot afford the subscription\n3. Generosity: Lack of generosity in allowing access to at least some features without subscription\n4. Empathy: App does not show empathy towards users with anxiety or sleep issues by requiring payment for help\n5. User Control: App limits user control by requiring payment for full access to features"",
    ""role"": ""assistant""
  }
}]","['1. Cost: App requires expensive subscription for full functionality', '2. Accessibility: App is not accessible to those who cannot afford the subscription', '3. Generosity: Lack of generosity in allowing access to at least some features without subscription', '4. Empathy: App does not show empathy towards users with anxiety or sleep issues by requiring payment for help', '5. User Control: App limits user control by requiring payment for full access to features']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","i've been using betterhelp for maybe six months now i have a student discount but even with the student discount it is pricey but i believe it is worth it you can switch your therapist if you don't like them which i do like a lot you can video chat text or phone call your therapist and share journal entries which i love you can also attend virtual meetings about other topics that you're interested in like group therapy
i went through two other therapist but i finally found the perfect one the other ones are really good though just not for me what issue i do have is that when i'm doing a voice call session if i hit mute and unmute then it keeps going back on mute every five seconds which is pretty annoying i've already reported it hopefully they can fix that bug soon but other than that the app functionality is good","
Generate minimum of five labels for Non Functional Requirements that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
i've been using betterhelp for maybe six months now i have a student discount but even with the student discount it is pricey but i believe it is worth it you can switch your therapist if you don't like them which i do like a lot you can video chat text or phone call your therapist and share journal entries which i love you can also attend virtual meetings about other topics that you're interested in like group therapy
i went through two other therapist but i finally found the perfect one the other ones are really good though just not for me what issue i do have is that when i'm doing a voice call session if i hit mute and unmute then it keeps going back on mute every five seconds which is pretty annoying i've already reported it hopefully they can fix that bug soon but other than that the app functionality is good
""""""""","[<OpenAIObject at 0x7f0336fc5770> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Usability: App functionality is good\n2. Reliability: Bug with voice call session mute/unmute function\n3. Customization: Ability to switch therapists\n4. Accessibility: Multiple communication options (video chat, text, phone call)\n5. Engagement: Virtual meetings for group therapy and other topics of interest"",
    ""role"": ""assistant""
  }
}]","['1. Usability: App functionality is good', '2. Reliability: Bug with voice call session mute/unmute function', '3. Customization: Ability to switch therapists', '4. Accessibility: Multiple communication options (video chat, text, phone call)', '5. Engagement: Virtual meetings for group therapy and other topics of interest']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","i went to the website and tried to sign up for a basic membership or trial but the site literally will not let you 
it skips over basic membership and charges you $65 for a year to try it and then  says it won't refund any of your money and that you have to contact apple support and beg them for a refund and maybe apple will refund and maybe not 

the same two ppl narrate pretty much everything i tried on the app and the woman tamara's voice is extremely annoying 
i can't meditate to that 
i tried to get a refund and there's no way to contact anyone so think twice before you spend 65 dollars to try something because you can not get refund 
i will be calling credit card company tomorrow to do a charge back 
i used the app for about 30 minutes so i think a month charge would be fair but nope it's $65 .","
Generate minimum of five labels for Non Functional Requirements that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
i went to the website and tried to sign up for a basic membership or trial but the site literally will not let you 
it skips over basic membership and charges you $65 for a year to try it and then  says it won't refund any of your money and that you have to contact apple support and beg them for a refund and maybe apple will refund and maybe not 

the same two ppl narrate pretty much everything i tried on the app and the woman tamara's voice is extremely annoying 
i can't meditate to that 
i tried to get a refund and there's no way to contact anyone so think twice before you spend 65 dollars to try something because you can not get refund 
i will be calling credit card company tomorrow to do a charge back 
i used the app for about 30 minutes so i think a month charge would be fair but nope it's $65 .
""""""""","[<OpenAIObject at 0x7f0336fc14a0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Usability: Website sign-up process is confusing and does not allow for basic membership/trial.\n2. Customer Support: No clear way to contact customer support for refunds or issues.\n3. Audio Quality: Narration voices are annoying and distracting for meditation.\n4. Pricing: High cost for trial period with no refund policy.\n5. Fairness: App charges a full year's subscription fee for only 30 minutes of use."",
    ""role"": ""assistant""
  }
}]","['1. Usability: Website sign-up process is confusing and does not allow for basic membership/trial.', '2. Customer Support: No clear way to contact customer support for refunds or issues.', '3. Audio Quality: Narration voices are annoying and distracting for meditation.', '4. Pricing: High cost for trial period with no refund policy.', ""5. Fairness: App charges a full year's subscription fee for only 30 minutes of use.""]"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","even though mediation sounds dumb' for some people, headspace is the very opposite; it gives me mindfulness tips and follow up with a mediation, making the mindfulness lesson more memorable, and what i learned so far (and all of them are so freaking helpful) are: observe thoughts instead of reacting and getting carried away with them, if we're reacting to thoughts we are keeping the emotion alive, adding more fuel to the fire; let's thoughts come and go, with a gentle or effortless focus; having a daydream sense of mind let's us take things less seriously and it gives us more freedom, and sooooo many more (i can't remember all at the moment).","
Generate minimum of five labels for Non Functional Requirements that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
even though mediation sounds dumb' for some people, headspace is the very opposite; it gives me mindfulness tips and follow up with a mediation, making the mindfulness lesson more memorable, and what i learned so far (and all of them are so freaking helpful) are: observe thoughts instead of reacting and getting carried away with them, if we're reacting to thoughts we are keeping the emotion alive, adding more fuel to the fire; let's thoughts come and go, with a gentle or effortless focus; having a daydream sense of mind let's us take things less seriously and it gives us more freedom, and sooooo many more (i can't remember all at the moment).
""""""""","[<OpenAIObject at 0x7f0336fc1400> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Usability: App provides easy-to-follow mindfulness tips and follow-up meditations\n2. Effectiveness: App teaches users to observe thoughts instead of reacting to them, leading to better emotional regulation\n3. Memorability: App makes mindfulness lessons more memorable through follow-up meditations\n4. Flexibility: App offers a variety of mindfulness techniques, including daydreaming, to suit different user preferences\n5. Impact: App provides helpful mindfulness lessons that users find beneficial for their mental health"",
    ""role"": ""assistant""
  }
}]","['1. Usability: App provides easy-to-follow mindfulness tips and follow-up meditations', '2. Effectiveness: App teaches users to observe thoughts instead of reacting to them, leading to better emotional regulation', '3. Memorability: App makes mindfulness lessons more memorable through follow-up meditations', '4. Flexibility: App offers a variety of mindfulness techniques, including daydreaming, to suit different user preferences', '5. Impact: App provides helpful mindfulness lessons that users find beneficial for their mental health']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","as a marketing, public relations and communications agency owner and consultant i have worked with many hundreds of journalists and writers and can say whole heartedly that dan harris is among the best interviewers - he knows the subjects so well he is able to distill scientific and professional jargon into simple language for the novice or beginner student of mindfulness, meditation and other subjects  which have proven evidence based results for helping us heal and evolve our self care toward a more joy filled and less stressful life.","
Generate minimum of five labels for Non Functional Requirements that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
as a marketing, public relations and communications agency owner and consultant i have worked with many hundreds of journalists and writers and can say whole heartedly that dan harris is among the best interviewers - he knows the subjects so well he is able to distill scientific and professional jargon into simple language for the novice or beginner student of mindfulness, meditation and other subjects  which have proven evidence based results for helping us heal and evolve our self care toward a more joy filled and less stressful life.
""""""""","[<OpenAIObject at 0x7f0336fc5c20> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Usability: App should be easy to use for novice or beginner students of mindfulness and meditation.\n2. Accessibility: App should be accessible to individuals seeking evidence-based results for mental health.\n3. Clarity: App should use simple language to explain scientific and professional jargon.\n4. Reliability: App should provide accurate information on mindfulness, meditation, and other related subjects.\n5. User Experience: App should provide a joyful and less stressful experience for users seeking self-care."",
    ""role"": ""assistant""
  }
}]","['1. Usability: App should be easy to use for novice or beginner students of mindfulness and meditation.', '2. Accessibility: App should be accessible to individuals seeking evidence-based results for mental health.', '3. Clarity: App should use simple language to explain scientific and professional jargon.', '4. Reliability: App should provide accurate information on mindfulness, meditation, and other related subjects.', '5. User Experience: App should provide a joyful and less stressful experience for users seeking self-care.']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","the ai uses an excess of emojis and even the responses that are supposed to be able to be written and interpreted use them excessively

the reviews are certainly heavily inflated whether by app stores themselves or purchased reviews, any and all developer responses are scripts that they only tweak to say we assure you we x, likely to try and spread disinformation

they backlessly claim they've had the ai which is in fact a preprogrammed questionnaire tested at esteemed universities, and continuously inflate their own egos by praising themselves within the first minute of talking with the ai

as said by another reviewer, it is extraordinarily childish in behaviour, and talks patronisingly","
Generate minimum of five labels for Non Functional Requirements that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
the ai uses an excess of emojis and even the responses that are supposed to be able to be written and interpreted use them excessively

the reviews are certainly heavily inflated whether by app stores themselves or purchased reviews, any and all developer responses are scripts that they only tweak to say we assure you we x, likely to try and spread disinformation

they backlessly claim they've had the ai which is in fact a preprogrammed questionnaire tested at esteemed universities, and continuously inflate their own egos by praising themselves within the first minute of talking with the ai

as said by another reviewer, it is extraordinarily childish in behaviour, and talks patronisingly
""""""""","[<OpenAIObject at 0x7f0336fc12c0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. User Experience: Excessive use of emojis and patronizing behavior\n2. Authenticity: Inflated reviews and scripted developer responses\n3. Accuracy: Misleading claims about AI testing at esteemed universities\n4. Professionalism: Self-praise within the first minute of interaction with AI\n5. Maturity: Childish behavior and patronizing tone"",
    ""role"": ""assistant""
  }
}]","['1. User Experience: Excessive use of emojis and patronizing behavior', '2. Authenticity: Inflated reviews and scripted developer responses', '3. Accuracy: Misleading claims about AI testing at esteemed universities', '4. Professionalism: Self-praise within the first minute of interaction with AI', '5. Maturity: Childish behavior and patronizing tone']"
"{'prefix': '\nGenerate minimum of five labels for Non Functional Requirements that best summarize the following mental health app review.\nDesired format: {label}: {description}\n', 'top_p': 0.1, 'temperature': 0.1, 'max_tokens': 150, 'presence_penalty': 0.1, 'frequency_penalty': 0.1}","even though a decent app there are issues
no linkage to app store purchase history 
no notification of impending renewal 
no non-automated response to inquiries 
no way to cancel via app store
says billed via apple pay but transaction doesn't show on apple pay transactions
subscription defaulted to family plan at 2x the price
unsubscribe did not issue a refund
billing terms can't be found
impossible to get a real support person to help
disputing via credit card, last resort.","
Generate minimum of five labels for Non Functional Requirements that best summarize the following mental health app review.
Desired format: {label}: {description}
Review: """"""
even though a decent app there are issues
no linkage to app store purchase history 
no notification of impending renewal 
no non-automated response to inquiries 
no way to cancel via app store
says billed via apple pay but transaction doesn't show on apple pay transactions
subscription defaulted to family plan at 2x the price
unsubscribe did not issue a refund
billing terms can't be found
impossible to get a real support person to help
disputing via credit card, last resort.
""""""""","[<OpenAIObject at 0x7f0336fc59a0> JSON: {
  ""finish_reason"": ""stop"",
  ""index"": 0,
  ""message"": {
    ""content"": ""1. Billing Transparency: No linkage to app store purchase history, transaction not showing on apple pay transactions, billing terms can't be found\n2. Subscription Management: No notification of impending renewal, no way to cancel via app store, subscription defaulted to family plan at 2x the price, unsubscribe did not issue a refund\n3. Customer Support: No non-automated response to inquiries, impossible to get a real support person to help\n4. Payment Dispute: Disputing via credit card, last resort\n5. User Experience: Issues with app functionality and billing process"",
    ""role"": ""assistant""
  }
}]","[""1. Billing Transparency: No linkage to app store purchase history, transaction not showing on apple pay transactions, billing terms can't be found"", '2. Subscription Management: No notification of impending renewal, no way to cancel via app store, subscription defaulted to family plan at 2x the price, unsubscribe did not issue a refund', '3. Customer Support: No non-automated response to inquiries, impossible to get a real support person to help', '4. Payment Dispute: Disputing via credit card, last resort', '5. User Experience: Issues with app functionality and billing process']"
