Domain,Name,Title,Date,UserName,Review,Positive keywords,Negative keywords,Positive genre,Negative genre,Talk about other apps,E.g.,Remarks,isEdited,Rating,keyword,selected,Word count,Extracted words
Mental Health,aura-meditation-sleep,Great app,2/9/2021 12:22,slblovesmud,really enjoy all of the features within this app!,,,,,,,,FALSE,4,,,5,"really,enjoy,features,within,app"
Mental Health,betterhelp-online-counseling,Off to a good start,1/6/2022 23:25,suzensez,"i just had my first live session and the app more or less forced me to review it, but so far i'm pleased that the counselor is professional and capable, and the app works fine.","first live session, app, more, less, forced, review, so far, pleased, counselor, professional, capable, app, works, fine",,"professional counseling, reliable",,,,,FALSE,4,,,15,"first,live,session,app,less,forced,review,far,pleased,counselor,professional,capable,app,works,fine"
Mental Health,betterhelp-online-counseling,Helpful and Affordable,10/27/2021 8:04,EM_Allinge,i don't know what else to say. it has been helpful to have a counselor abroad. it's easy and accessible. definitely worth it!,"not know, what to say, helpful, counselor, abroad, easy, accessible, worth it",,"professional counseling, usable, accessible",,,,,FALSE,5,,,11,"not,know,else,say,helpful,counselor,abroad,easy,accessible,definitely,worth"
Mental Health,ibreathe-relax-and-breathe,Recommend,12/12/2021 9:54,mjgdghuhg,it's easy to use and practical,"easy to use, practical",,usable,,,,,FALSE,4,,,3,"easy,use,practical"
Mental Health,woebot-your-self-care-expert,Grateful for this Woebot,3/14/2021 7:34,sm1170,i was curious about cbt and i found this app on apple store. i have been using it daily and it is helping me in so many different ways. my favorite is gratitude journaling. i would recommend this woebot to a friend. ,"curious, found, apple store, using, daily, helping, different ways, favorite, gratitude journaling, recommend, friend",,effective,,,,,FALSE,5,,,19,"curious,cbt,found,app,apple,store,using,daily,helping,many,different,ways,favorite,gratitude,journaling,would,recommend,woebot,friend"
Mental Health,betterhelp-online-counseling,Great app,5/18/2021 16:05,Eganomicon,"so far, this app has been quite helpful with my needs.",,,,,,,,FALSE,5,,,5,"far,app,quite,helpful,needs"
Mental Health,simple-habit-sleep-meditation,Won't work with Apple Watch 7,11/24/2021 18:38,Dhjcsgngduhxghd,"please tell me how to get this to work with my watch.  the app is on my watch but when i select an option, it just goes back to the grid view.  the app crashes as soon as i want to listen to a session.",,"please, tell, get to work, watch, select, option, goes back, grid view, app, crashes, want to, listen, session",,reliable,,,,FALSE,1,,,19,"please,tell,get,work,watch,app,watch,select,option,goes,back,grid,view,app,crashes,soon,want,listen,session"
Mental Health,wysa-mental-health-support,Amazing,8/14/2021 23:46,yoitsmrdaniel108,this is an amazing app and i use it when i feel like i'm about to start having an anxiety attack and the wysa ai is amazing at comforting me when things get tough,"amazing, use, feel like, about to start, anxiety attack, comforting, things get tough",,effective,,,,,FALSE,5,,,15,"amazing,app,use,feel,like,start,anxiety,attack,wysa,ai,amazing,comforting,things,get,tough"
Mental Health,shine-calm-anxiety-stress,"Give it a try, you won't be disappointed!!!",1/10/2021 15:47,Jamila W.,such a great tool!! one of the best self therapy tools out there!! meaningful yet not time consuming. i love that it's focused women of color and not white women centered ,"great, tool, best, self therapy, meaningful, not time consuming, focused, women of color, not white women centered",,"usable, accessible",,,,,FALSE,5,,,18,"great,tool,one,best,self,therapy,tools,meaningful,yet,time,consuming,love,focused,women,color,white,women,centered"
Mental Health,waking-up-guided-meditation,Love it!,3/31/2022 15:58,jsnread,this is a wonderful app. sam's meditation lessons are totally different and more useful than any other meditation app i've run across. he isn't just teaching you to relax. he's really helping you to change the way you think.,"wonderful, meditation lessons, totally different, useful, not just teaching, to relax, helping, to change, way you think",,professional counseling,,,,,FALSE,5,,,20,"wonderful,app,sam,meditation,lessons,totally,different,useful,meditation,app,run,across,not,teaching,relax,really,helping,change,way,think"
Mental Health,betterhelp-online-counseling,useful,2/18/2022 16:48,madilynrenee,"i've had about 4 sessions so far and i will say, betterhelp has been amazing. my therapist nicole is so awesome and understanding and keeps her personal views and beliefs separate which is a problem i've had with therapists in the past. betterhelp is awesome and i highly recommend you at least try it if you're seeking therapy.","session, amazing, therapist, awesome, understanding, keeps, personal views, beliefs, separate, highly recommend, seeking therapy",,professional counseling,,,,,FALSE,5,,,26,"4,sessions,far,say,betterhelp,amazing,therapist,nicole,awesome,understanding,keeps,personal,views,beliefs,separate,problem,therapists,past,betterhelp,awesome,highly,recommend,least,try,seeking,therapy"
Mental Health,sanvello-anxiety-depression,Great for older teens/young adults,9/14/2021 0:08,zbagale620,"sanvello: anxiety & depression gets four stars. it is aesthetically pleasing to look at, and the recorded voices are calming; these sights and sounds are potentially beneficial for users in heightened emotional states. the developers of this application claim it is appropriate for users over 12 years of age, though i believe it is more suited for 15+, as a certain level of self-awareness and understanding is required to comprehend the app's lessons. while it is unfortunate that most of the features require a paid subscription, the available-for-free features are impressive. upon logging in to the app, the user can record moods in a journal and complete check-in assessments. information gathered is then used to personalize a daily journey, complete with video lessons (e.g., lessons on anxiety, stress, depression, etc.), audio recordings, and readings. completing the entire journey is time consuming, which is another reason i believe this app is suited for older teens/young adults. 

of my three favorite features, the first is the community chat rooms where users can connect with others who are having similar experiences/feelings/thoughts. the room topics range from anxiety and depression to blm, lgbtqia+, heartbreak, and school stress. despite having these culturally responsive chatrooms, and a variety of options for those with hearing impairments, the only languages available are english, french, spanish, and portuguese, which i found strange and limiting. my second favorite feature is the weekly music playlist. sanvello: anxiety & depression links to spotify to create playlists for different moods, a feature that teens could really enjoy. 

the third feature i appreciate is the lack of / inability to link to social media. in the tech-heavy culture teens are growing up in, social media can affect identity, body image, and ideas about and intentions for sexuality (laser and nicotera, 2021). excluding the community chatrooms, there are no opportunities for maladaptive behavior on sanvello: anxiety & depression. perhaps it is because the rooms are closely monitored, or perhaps it is because the user does not feel peer pressure/influence, in my exploration of the communication taking place in these rooms, everything seems age-appropriate, kind, and supportive. laser and nicotera (2021) state that web-based programs have been shown to be useful for youth dealing with depression, chronic fatigue syndrome, and for those attempting to quit smoking"", and i believe sanvello: anxiety & depression is a good example of this type of program.

 this review is further supported by steinberg (2015), who lists numerous features of this application as beneficial for adolescents. mindfulness meditation, he states, has been shown to reduce stress and help alleviate many psychological disorders,  anxiety, trauma, and addictionhelps strengthens self-regulation also improves sleep, cardiovascular health, and immune function. steinberg (2015) goes on to explain the importance of sel programs and teaching self-regulation skills/strategies  not only do these skills help emotion regulation, but they also lead to an improvement in grades. in utilizing strategies from these types of programs, i believe sanvello: anxiety & depression can have effects above and beyond the specific target of the intervention (steinberg, 2015), giving it the potential to support adolescents through their formative years.","aesthetically, pleasing to look at, recorded voices, calming, sights, sounds, potentially, beneficial, users, heightened, emotional states, most features, require, paid subscription, available-for-free features, impressive, user, record moods, complete check-in assesssments, information gathered, used to, personalize, daily journal, complete video lessons, completing, entire journey, time consuming, app, suited, older teens/young adults, ",,"usable, effective",,,,,FALSE,4,,,298,"sanvello,anxiety,depression,gets,four,stars,aesthetically,pleasing,look,recorded,voices,calming,sights,sounds,potentially,beneficial,users,heightened,emotional,states,developers,application,claim,appropriate,users,12,years,age,though,believe,suited,15+,certain,level,self-awareness,understanding,required,comprehend,app,lessons,unfortunate,features,require,paid,subscription,available-for-free,features,impressive,upon,logging,app,user,record,moods,journal,complete,check-in,assessments,information,gathered,used,personalize,daily,journey,complete,video,lessons,e.g.,lessons,anxiety,stress,depression,etc,audio,recordings,readings,completing,entire,journey,time,consuming,another,reason,believe,app,suited,older,teens/young,adults,three,favorite,features,first,community,chat,rooms,users,connect,others,similar,experiences/feelings/thoughts,room,topics,range,anxiety,depression,blm,lgbtqia+,heartbreak,school,stress,despite,culturally,responsive,chatrooms,variety,options,hearing,impairments,languages,available,english,french,spanish,portuguese,found,strange,limiting,second,favorite,feature,weekly,music,playlist,sanvello,anxiety,depression,links,spotify,create,playlists,different,moods,feature,teens,could,really,enjoy,third,feature,appreciate,lack,inability,link,social,media,tech-heavy,culture,teens,growing,social,media,affect,identity,body,image,ideas,intentions,sexuality,laser,nicotera,2021,excluding,community,chatrooms,opportunities,maladaptive,behavior,sanvello,anxiety,depression,perhaps,rooms,closely,monitored,perhaps,user,feel,peer,pressure/influence,exploration,communication,taking,place,rooms,everything,seems,age-appropriate,kind,supportive,laser,nicotera,2021,state,web-based,programs,shown,useful,youth,dealing,depression,chronic,fatigue,syndrome,attempting,quit,smoking,'',believe,sanvello,anxiety,depression,good,example,type,program,review,supported,steinberg,2015,lists,numerous,features,application,beneficial,adolescents,mindfulness,meditation,states,shown,reduce,stress,help,alleviate,many,psychological,disorders,anxiety,trauma,addictionhelps,strengthens,self-regulation,also,improves,sleep,cardiovascular,health,immune,function,steinberg,2015,goes,explain,importance,sel,programs,teaching,self-regulation,skills/strategies,skills,help,emotion,regulation,also,lead,improvement,grades,utilizing,strategies,types,programs,believe,sanvello,anxiety,depression,effects,beyond,specific,target,intervention,steinberg,2015,giving,potential,support,adolescents,formative,years"
Mental Health,whats-up-a-mental-health-app,Not very usable to VoiceOver users,3/28/2022 0:52,Carmelrod,"i found out about this app while reading an article online. i downloaded it because i like many other apps i'm looking for a method to log my thoughts when going through major depression or an anxiety attack. as soon as i download it, and rent it i realized the voiceover is not even able to see any of the objects on the screen. even with screen recognition on, while it is able to read the front page, i am unable to activate any of the controls. please make this app accessible. lots of people can benefit from something like this. thanks. i would be more than happy to donate to your project as well as rate you higher if the app gets fixed.",,"voiceover, not able to see, objects on screen, screen recognition on, able to read, front apge, unable, activate, controls, please, make, app, accessible",,reliable,,,,FALSE,1,,,58,"found,app,reading,article,online,downloaded,like,many,apps,looking,method,log,thoughts,going,major,depression,anxiety,attack,soon,download,rent,realized,voiceover,even,able,see,objects,screen,even,screen,recognition,able,read,front,page,unable,activate,controls,please,make,app,accessible,lots,people,benefit,something,like,thanks,would,happy,donate,project,well,rate,higher,app,gets,fixed"
Mental Health,betterhelp-online-counseling,Excellent!,8/3/2021 12:00,camiyzc,"i had lost two family members very close together and was feeling lost, alone and totally overwhelmed. having lynn with better help for support got me through a very difficult time.","lost, family members, close together, feeling, lost, overwhelmed, support, got me through, difficult time",,effective,,,,,FALSE,5,,,18,"lost,two,family,members,close,together,feeling,lost,alone,totally,overwhelmed,lynn,better,help,support,got,difficult,time"
Mental Health,aura-meditation-sleep,A Calm clone,1/9/2021 7:03,itunes frustrated,"this is basically a clone of calm with really nothing free and you constantly get pay walls thrown up where the x in the upper left corner that would let you continue to use it free without getting locked into 7 day free trial leading to automatic monthly or yearly charges is barely visible. this just one of the deceptive practices employed.  you are limited to one 3 min meditation or you pay. you get one jarring soundscape of very poor quality sound. all the stories and sleep music are behind the paywall. coach stuff as well. 
if you can afford and want to spend hundreds of dollars, might as well pay for calm. if can't afford or object to paying hundreds of dollars there are much better flexible and friendly free apps -try oak or tide , both offer far more for free and are not deceptively and actively try to trick you to get locked into automatic payments.",,"clone of clam, nothing free, constantly, pay walls, thrown up, deceptive practices, limited, min meditation, get one, jarring, soundscape, poor quality sound, stories, sleep music, behind, paywall, coach stuff, afford, spend, hundred of dollars, pay, not afford, object to playing hundreds of dollars, better flexible, friendly, free apps, ",,"affordable, reliable","oak, tide",,,FALSE,1,,,95,"basically,clone,calm,really,nothing,free,constantly,get,pay,walls,thrown,x,upper,left,corner,would,let,continue,use,free,without,getting,locked,7,day,free,trial,leading,automatic,monthly,yearly,charges,barely,visible,one,deceptive,practices,employed,limited,one,3,min,meditation,pay,get,one,jarring,soundscape,poor,quality,sound,stories,sleep,music,behind,paywall,coach,stuff,well,afford,want,spend,hundreds,dollars,might,well,pay,calm,ca,not,afford,object,paying,hundreds,dollars,much,better,flexible,friendly,free,apps,-try,oak,tide,offer,far,free,deceptively,actively,try,trick,get,locked,automatic,payments"
