Domain,Date,Name,Title,Review,Positive keywords,Negative keywords,Positive genre,Negative genre,Eg,Talk abt other apps,Other apps reviews talk abt,Remarks,keywords,Rating,Word count,Extracted words (NLTK)
Investing,6/8/2021 15:40,gemini-buy-bitcoin-crypto,Customer service,where is the support people? i've been trying to contact them regardinga certain problem but i didnt get any help.. its almost 2 months they havent replied yet.. smh,,"where, support people, trying, contact, problem, not get any help, almost months, not replied",,customer service,1,,,,"support people, not get help",1,19,"support,people,trying,contact,regardinga,certain,problem,didnt,get,help,..,almost,2,months,havent,replied,yet,..,smh"
Investing,8/19/2021 12:44,marketsim,App's Currently Broken,"currently, the stock ticker search function is broken and doesn't display your results. you aren't able to search and purchase stocks outside of the ones listed as top gainers, making the whole thing useless.",,"function, broken, not display your results, not able, search and purchase, useless",,usability,,,,,"function, broken, not able, useless",1,23,"currently,stock,ticker,search,function,broken,not,display,results,not,able,search,purchase,stocks,outside,ones,listed,top,gainers,making,whole,thing,useless"
Investing,2/5/2021 6:10,robinhood-investing-for-all,Some Nice Features But Traditional Brokerage Companies Better Overall,"the good:
1. recurring investments in stocks and etfs! (compared to traditional brokerages which usually only allow recurring investments in a limited number of mutual funds)
2. ability to purchase fractional shares. 

the bad:
1. lack of investing research that you get for free with brokerage accounts at places like etrade, merrill edge, charles schwab. 
2. removed trading of closed-ended funds like pzc. 
3. has restricted buying shares in publicly traded companies with high volatility. 

so the good things about it make it worthwhile to have an account, but the drawbacks make me recommend it as a supplemental brokerage account. use another platform for your main one.","the good, ability to purchase, fractional shares","the bad, lack of investing research, get for free, removed trading, closed-ended funds, restrict, buying, publicly traded companies, high volatility",usability,reliability,,1,,"(accessibility) asked for free feature but it sounds like a lack of access to a service. Had the feature been there but costly, would have considered affordability in that case","ability to purchase, lack of, restrict buying, removed trading",2,70,"good,1.,recurring,investments,stocks,etfs,compared,traditional,brokerages,usually,allow,recurring,investments,limited,number,mutual,funds,2.,ability,purchase,fractional,shares,bad,1.,lack,investing,research,get,free,brokerage,accounts,places,like,etrade,merrill,edge,charles,schwab,2.,removed,trading,closed-ended,funds,like,pzc,3.,restricted,buying,shares,publicly,traded,companies,high,volatility,good,things,make,worthwhile,account,drawbacks,make,recommend,supplemental,brokerage,account,use,another,platform,main,one"
Investing,12/22/2020 11:21,robinhood-investing-for-all,Great app but not sure about the Company (BAD customer support!),"first things first bad customer support! 

great look and feel to this app. easy to use and just overall seemingly smooth. which makes it easy to invest! but this company's had a lot of security issues and has stopped allowing some investment opportunities such as mpls, lps and also royalty trusts. though they are a growing company they are still taking away investment opportunities and this is concerning. would not recommend this app to hold your larger portfolios.","great look and feel, easy to use, smooth, easy to invest","bad customer support, security issues, stopped allowing investment opportunities, taking away investment opportunities, concerning, not recommend, larger portfolios",usability,"customer service, security, reliability",,,,,"customer support, look and feel, easy to use, security issues, stopped allowing, taking away",2,46,"first,things,first,bad,customer,support,great,look,feel,app,easy,use,overall,seemingly,smooth,makes,easy,invest,company,lot,security,issues,stopped,allowing,investment,opportunities,mpls,lps,also,royalty,trusts,though,growing,company,still,taking,away,investment,opportunities,concerning,would,recommend,app,hold,larger,portfolios"
Investing,2/15/2022 0:22,stash-invest-build-wealth,Hate this app so much,"not a reliable app, wat too much info that they make you type and always say it's incorrect even if you type everything correct. i copied and pasted my email and kept double checking my password and still said it was wrong. don't waste your time on this app, doesn't deserve to have 5 stars. it deserves 0 a big fat 0.",,"not reliable, too much info, make you type, always say incorrect, double checking, said wrong, waste time, not deserve stars",,reliability,1,,,"not a typical reliability concern, looks more like a bug",,1,37,"reliable,app,wat,much,info,make,type,always,say,incorrect,even,type,everything,correct,copied,pasted,email,kept,double,checking,password,still,said,wrong,not,waste,time,app,not,deserve,5,stars,deserves,0,big,fat,0"
Investing,4/6/2021 17:29,wealthfront-save-and-invest,Great,interface is awesome and you can link all your accounts under one roof,"interface, awesome, link, accounts, one roof",,usability,,,,,,interface,5,6,"interface,awesome,link,accounts,one,roof"
Investing,10/4/2021 22:02,vanguard,Terrible customer service,"i use the app all the time, and it is ancient and not very intuitive. however, when you combine that with the near impossibility getting a customer service person on the line it is a less than one star experience. 

i know this is the app rating but there is no other way i can seem to talk to anyone. your ivr is designed to do what ever it can to not put a person on the phone.",,"ancient, not intuitive, near impossibility, customer service person, on the line, no other way, talk to anyone",,"usability, customer service",,,,,"intuitive, customer service",1,31,"use,app,time,ancient,intuitive,however,combine,near,impossibility,getting,customer,service,person,line,less,one,star,experience,know,app,rating,way,seem,talk,anyone,ivr,designed,ever,put,person,phone"
Investing,7/8/2022 17:04,td-ameritrade-mobile,"Excellent app, Love it. It's taught me a lot about the market.","let's me watch my stocks and trade all on my phone. lots of info. try it, you'll love it. simple, easy to use, all you need.","watch, stocks, trade, on my phone, lots of info, love, simple, easy to use",,"usability, reliability",,1,,,lots of info indicates the user has access to lots of info that helps them trade,"simple, easy to use",5,13,"let,watch,stocks,trade,phone,lots,info,try,love,simple,easy,use,need"
Investing,1/25/2021 19:15,robinhood-investing-for-all,Awesome app,this is really awesome. if not for robinhood i would not have been able to invest in the market. however i would have liked extended trading like webull. as much as i like robinhood i can't use it for extended trading. hope they can bring this change and i should never look beside robinhood.,,,,,1,1,,would like to have app feature requests,,4,29,"really,awesome,robinhood,would,able,invest,market,however,would,liked,extended,trading,like,webull,much,like,robinhood,ca,not,use,extended,trading,hope,bring,change,never,look,beside,robinhood"
Investing,8/17/2021 20:07,gemini-buy-bitcoin-crypto,I'm soo mad,i'm mad it an't contact nobody and been with them a month they were charging me fees multiple times when i deposit money in it and then i cancel my card because it kept charging me i didn't purchase anything and they froze my account i have money in and i'm getting tired i told 3 friends me n one of my friend accounts are frozen we are getting tired i told some my friends don't use it,,"mad, contact, nobody, month, charging, fees, multiple times, deposit money, cancel, card, kept charging, not purchase, froze account, tired, don't use",,"reliability, usability",1,,,is it a reliability concern? Being charged multiple times for a single deposit ? And then freeze the account for not using it ?,,5,37,"mad,not,contact,nobody,month,charging,fees,multiple,times,deposit,money,cancel,card,kept,charging,not,purchase,anything,froze,account,money,getting,tired,told,3,friends,n,one,friend,accounts,frozen,getting,tired,told,friends,not,use"
Investing,3/31/2021 18:23,e-trade-invest-trade-save,Go elsewhere,i've been using this for a year now along with robinhood and webull.  i can confidently say the functionality is worse than robinhood.  you can only sell trades with market limit sells are not instant.  sometimes they won't trigger ole enough after 15 minutes of being past the limit. go elsewhere!  both robinhood and webull are more noob friendly and have some learning tools.  i hope this helps you invest your money and time correctly!,,"confidently, functionality, worse, only sell, market limit, sells not instant, not trigger, past the limit",,reliability,,1,,"functionality - is it accessibility issue as later the user says about limit sells
performance - sells are not instant, not trigger enough after 15 minutes, 
comparision - good things are said about other apps, so I excluded them here  ",,1,40,"using,year,along,robinhood,webull,confidently,say,functionality,worse,robinhood,sell,trades,market,limit,sells,instant,sometimes,wo,not,trigger,ole,enough,15,minutes,past,limit,go,elsewhere,robinhood,webull,noob,friendly,learning,tools,hope,helps,invest,money,time,correctly"
Investing,1/29/2021 1:23,e-trade-invest-trade-save,Absolute garbage not a free market,"e*trade can literally turn off the buy button for stocks that they don't want you to buy. 

hey e*trade f*** you. you are dog sh**",,"turn off, buy button, stocks, not want you to buy",,reliability,1,,,"reliability - the app does it on its own when ethically speaking, they should not",turn off buy,1,16,"e,trade,literally,turn,buy,button,stocks,not,want,buy,hey,e,trade,f,dog,sh"
