doc_id,score,raw,sent,vectorized
37684,0.806133833,m1 vs webull hands down m1 is better then webull do to the fractional share buying both do not allow dividends to be reinvested webull allows trades anytime m1 limited to one trade windows unless you pay 10.00-11.00 a month for the two trade window service but the second trade window flakes and won't trade at end of day. webull has a stock lending program allows you to loan your shares to short sellers to pull in extra income - winner m1 should adopt m1 has a barrow they will lend you money based on your stock value and stock holdings useful for higher income people m1 vs public public hands down kicks m1 in the face on investing no limits 1.00 transactions more options for stocks and funds m1 slam public into the ground with its automatic investment pie you can build your own 100 stock profile on m1 and split it by % easy to rebalance holdings unlike public it's all on you at the end of the day m1 wins for being able to handle larger sums of cash simply with a click and you can pick to rebalance individual parts of your investment if you set it up as such as for fidelity and vanguard m1 lacks a bit they have no charts to display stock holdings type into each self made pie you can't view your large caps and medium caps and small caps with m1 also m1 lacks the same on bond information they also lack on showing you your overall market % based on industry m1 still has a lot of work ahead of them for details within there pies but over all m1 has a high and right idea unlike anything i've seen with time i hope m1 will adopt webull stock lending program i hope it will adopt vanguard details on holding with easy views on sector and charts i hope m1 adopt fidelity research idea with 3rd party's i also would like m1 to take it further and allow and auto pie sell based on % not only a buy option i would like to see m1 barrow offer a fixed rate option not only variable rate i would like to see a specific chart for each pie i would like a tool to compare pies and to other etfs based on current and past years using the self made pies i would like to see m1 offer 6 automatic trades not only 5 i would like to see our 100 stock limit adjusted to a 200 limit for people who hold high balance profiles give us something to aim for! would like m1 to offer a dividend payout viewable option to see future dividends pending and future dividends locked in along with a yearly outlook per pie if possible thank for reading my review m1 please allow automatic investing on dividends we are missing out on special stock 5% discount for auto reinvest stocks such as psec it's a disadvantage i hope to see m1 make right soon. i do understand why it's not easy for the platform to adjust to this type of service but it's just one less thing m1 has to offer that others can do and you have the preferred system for investors of the long and hold type also dislike your 20.00 fee for inactive accounts you need to explain this better it's lacking in words for the normal person to make out what your trying to say and leave us guessing on how the fee is applied to your customers if you'd like to download this app i'd recommend it for automatic investing along with long term dividend holders thanks for the platform i am enjoying the app and plan to make some video later on if you do some of the things i've asked for.,webull has a stock lending program allows you to loan your shares to short sellers to pull in extra income - winner m1 should adopt m1 has a barrow they will lend you money based on your stock value and stock holdings useful for higher income people m1 vs public public hands down kicks m1 in the face on investing no limits 1.00 transactions more options for stocks and funds m1 slam public into the ground with its automatic investment pie you can build your own 100 stock profile on m1 and split it by % easy to rebalance holdings unlike public it's all on you at the end of the day m1 wins for being able to handle larger sums of cash simply with a click and you can pick to rebalance individual parts of your investment if you set it up as such as for fidelity and vanguard m1 lacks a bit they have no charts to display stock holdings type into each self made pie you can't view your large caps and medium caps and small caps with m1 also m1 lacks the same on bond information they also lack on showing you your overall market % based on industry m1 still has a lot of work ahead of them for details within there pies but over all m1 has a high and right idea unlike anything i've seen with time i hope m1 will adopt webull stock lending program i hope it will adopt vanguard details on holding with easy views on sector and charts i hope m1 adopt fidelity research idea with 3rd party's i also would like m1 to take it further and allow and auto pie sell based on % not only a buy option i would like to see m1 barrow offer a fixed rate option not only variable rate i would like to see a specific chart for each pie i would like a tool to compare pies and to other etfs based on current and past years using the self made pies i would like to see m1 offer 6 automatic trades not only 5 i would like to see our 100 stock limit adjusted to a 200 limit for people who hold high balance profiles give us something to aim for!,"webull,stock,lending,program,allows,loan,share,short,seller,pull,extra,income,winner,adopt,lend,money,base,stock,value,stock,holding,useful,high,income,people,public,public,hand,kick,face,invest,limit,transaction,option,stock,fund,slam,public,ground,automatic,investment,pie,build,stock,profile,split,easy,rebalance,holding,unlike,public,end,day,win,able,handle,large,sum,cash,simply,click,pick,rebalance,individual,part,investment,set,fidelity,vanguard,lack,bit,chart,display,stock,holding,type,self,make,pie,view,large,cap,medium,cap,small,cap,also,lack,bond,information,also,lack,show,overall,market,base,industry,still,lot,work,ahead,detail,within,pie,high,right,idea,unlike,anything,see,time,hope,adopt,webull,stock,lending,program,hope,adopt,vanguard,detail,hold,easy,view,sector,chart,hope,adopt,fidelity,research,idea,party,also,would,like,take,allow,auto,pie,sell,base,buy,option,would,like,see,offer,fix,rate,option,variable,rate,would,like,see,specific,chart,pie,would,like,tool,compare,pie,etf,base,current,past,year,use,self,make,pie,would,like,see,offer,automatic,trade,would,like,see,stock,limit,adjust,limit,people,hold,high,balance,profile,give,something,aim"
33942,0.743765805,"i am a disabled american man that was excited about opening an account and portfolio with gemini as with disabilities you are permitted to have any amount of unearned income such as trading
i put in a large sum and purchased some crypto 
by the next day the gemini staff notified me that my bank would not be compatible for what is needed to trade on gemini 
they said i needed an ach transferable account 
i was refunded the full amount that i deposited and all my currencies were set to 0.00
my account i thought was set to go back to a zero balance and all the trades were not awarded 
by now i'm getting annoyed 
i want to close the account but figured i could be at ease knowing all the money i put in was given back and i'm neutral 
so at the beginning of the next month about a week later my bank account gets slapped with another large bill pay putting me upside down for the month
like i said i am disabled and my source of income is small and monthly 
so after paying my rent and being stuck with a fee that i have nothing to show for no value of currency or service provided
i'm accruing numerous fees from my bank for overdraft nsf charges and i'm seeing red
gemini is responsible for this 
i emailed four or five times 
no customer service has contacted me back or resolved any of the matter
i feel taken advantage of 
knowing that this fraudulent or mistake of a charge to my account will not be resolved 
in any timely manner
and honestly i want to be compensated for the hit i took to my bank account after the account was clearly inactive and in the clear
all of a sudden cryptocurrency showed up in my portfolio as if the original minimal spending on smaller crypto's were awarded 
but my bitcoin and bitcoin bch were never awarded 
if i never put money in what gives you the liberty to withdraw from my non ach transferable account (like you said you couldn't) 
after the matter was resolved and in the past","i am a disabled american man that was excited about opening an account and portfolio with gemini as with disabilities you are permitted to have any amount of unearned income such as trading
i put in a large sum and purchased some crypto 
by the next day the gemini staff notified me that my bank would not be compatible for what is needed to trade on gemini 
they said i needed an ach transferable account 
i was refunded the full amount that i deposited and all my currencies were set to 0.00
my account i thought was set to go back to a zero balance and all the trades were not awarded 
by now i'm getting annoyed 
i want to close the account but figured i could be at ease knowing all the money i put in was given back and i'm neutral 
so at the beginning of the next month about a week later my bank account gets slapped with another large bill pay putting me upside down for the month
like i said i am disabled and my source of income is small and monthly 
so after paying my rent and being stuck with a fee that i have nothing to show for no value of currency or service provided
i'm accruing numerous fees from my bank for overdraft nsf charges and i'm seeing red
gemini is responsible for this 
i emailed four or five times 
no customer service has contacted me back or resolved any of the matter
i feel taken advantage of 
knowing that this fraudulent or mistake of a charge to my account will not be resolved 
in any timely manner
and honestly i want to be compensated for the hit i took to my bank account after the account was clearly inactive and in the clear
all of a sudden cryptocurrency showed up in my portfolio as if the original minimal spending on smaller crypto's were awarded 
but my bitcoin and bitcoin bch were never awarded 
if i never put money in what gives you the liberty to withdraw from my non ach transferable account (like you said you couldn't) 
after the matter was resolved and in the past","disabled,american,man,excite,opening,account,portfolio,gemini,permit,amount,income,trading,put,large,sum,purchase,crypto,next,day,gemini,staff,notify,bank,would,compatible,need,trade,gemini,say,need,ach,transferable,account,refund,full,amount,deposit,currency,set,account,thought,set,back,zero,balance,trade,award,get,annoyed,want,close,account,figure,could,ease,know,money,put,give,back,neutral,begin,next,month,week,later,bank,account,get,slap,another,large,bill,pay,put,upside,month,like,say,disabled,source,income,small,monthly,pay,rent,stuck,fee,nothing,show,value,currency,service,provide,accrue,numerous,fee,bank,overdraft,nsf,charge,see,red,gemini,responsible,email,four,five,time,customer,service,contact,back,resolve,matter,feel,take,advantage,know,fraudulent,mistake,charge,account,resolve,timely,manner,honestly,want,compensate,hit,take,bank,account,account,clearly,inactive,clear,sudden,cryptocurrency,show,portfolio,original,minimal,spending,small,crypto,award,bitcoin,bitcoin,bch,never,award,never,put,money,give,liberty,withdraw,non,ach,transferable,account,like,say,could,matter,resolve,past"
26126,0.624518614,i gave one star because had to do something to proceed i downloaded this app to potentially research some stocks and to do business with fidelity i reached a point where i could create an account as i did information didn't match and directed me to call an 800 number i was then transferred over to a 401(k) department unsure why and everyone was pretty adamant about who my employer was i continuously said it was irrelevant i was just trying to research some stocks  i was told that why would i do that without a game plan was asked my intentions of opening the account no one listens after about 10 different people from that company finally someone spilled the beans and said that my social security number was attached to someone that had an employee based plan at mercy health fidelity refused to contact mercy health and have their hr department pull the initial paperwork they didn't believe that there was a breach or any fraudulent activity no one has return any calls another fidelity representative said i would need to fill out paperwork have my social security number out there again and at that point security would research the issue they basically made me feel like i was a stranger off the street trying to access someone else's account i am disgusted how poorly ive been treated how much disregard they took for the seriousness of this i was trying to believe it was just human error but now the real human error is that no one wants to follow up with the mistake if someone from fidelity actually cares enough to know i spoke with reach out to me but i have a feeling won't happen whenever has the same i don't care lazy attitude,i gave one star because had to do something to proceed i downloaded this app to potentially research some stocks and to do business with fidelity i reached a point where i could create an account as i did information didn't match and directed me to call an 800 number i was then transferred over to a 401(k) department unsure why and everyone was pretty adamant about who my employer was i continuously said it was irrelevant i was just trying to research some stocks  i was told that why would i do that without a game plan was asked my intentions of opening the account no one listens after about 10 different people from that company finally someone spilled the beans and said that my social security number was attached to someone that had an employee based plan at mercy health fidelity refused to contact mercy health and have their hr department pull the initial paperwork they didn't believe that there was a breach or any fraudulent activity no one has return any calls another fidelity representative said i would need to fill out paperwork have my social security number out there again and at that point security would research the issue they basically made me feel like i was a stranger off the street trying to access someone else's account i am disgusted how poorly ive been treated how much disregard they took for the seriousness of this i was trying to believe it was just human error but now the real human error is that no one wants to follow up with the mistake if someone from fidelity actually cares enough to know i spoke with reach out to me but i have a feeling won't happen whenever has the same i don't care lazy attitude,"give,one,star,something,proceed,download,app,potentially,research,stock,business,fidelity,reach,point,could,create,account,information,match,direct,call,number,transfer,department,unsure,everyone,pretty,employer,continuously,say,irrelevant,try,research,stock,told,would,without,game,plan,ask,intention,opening,account,one,listens,different,people,company,finally,someone,say,social,security,number,attach,someone,employee,base,plan,mercy,health,fidelity,refuse,contact,mercy,health,department,pull,initial,paperwork,believe,breach,fraudulent,activity,one,return,call,another,fidelity,representative,say,would,need,fill,paperwork,social,security,number,point,security,would,research,issue,basically,make,feel,like,stranger,street,try,access,someone,else,account,disgust,poorly,ive,treat,much,disregard,take,seriousness,try,believe,human,error,real,human,error,one,want,follow,mistake,someone,fidelity,actually,care,enough,know,spoke,reach,feel,happen,whenever,care,lazy,attitude"
26485,0.513328162,"nothing works on apple since march 2020 - not even basic login!!! login doesn't work since march 2020 on fidelity app on apple ipad pro, and now the login does not work on the google chrome and siri on apple ipad pro ios 15... numerical password with 10 numerals and then letters and special characters can't be typed as fidelity app keeps switching apple native keyboard from numbers to letters while password is typed. on fidelity chrome website version, this issue is occuring since this monday, 9-27-21. apple ios was updated 2 weeks ago to latest ios 15 and i was at least able to log in on chrome and siri until 9-27-21, while having issues with keyboard randomly switching on the app. now all 3 applications: the apple store app, google chrome based application and siri application are broken for typing numerical alpha password. on the exact same device, keyboard is not switching on other password typing entry points such as typing logins and passwords for wi-fi and numerous sites like morning star, bloomberg, etc. when i complained about not being able to place a fractional trade about 1 year ago via feedback as fidelity software code locked in the phone dialer keyboard on the field where you would type the number of shares and would not give an option to type the decimal point, that issue surprisingly was addressed quickly... within just less than a week. an issue with broken watch lists on apple ipad fidelity app was finally seemingly resolved after me complaining weekly via app feedback for the past 52 weeks every other day or so... and monthly via their representatives who are incredibly helpful when it comes to placing the trades etc, but they seem to be powerless as far as escalation of the technology issues and bugs... and advocating on behalf of their customer they are helping to trade as the application does not work... but login issues keyboard switching bug is still not addressed and ignored despite me giving numerous examples of specific behavior of keyboard switching to electronic channel support and reps, the issue is now only worse as of monday, 9-27-21 i can't login on google chrome and siri without typing 1 number, watching the keyboard being switched by fidelity software code bug to letters only keyboard (naturally only apple ipad native keyboard, no 3rd party which worked for years just fine) if not for fidelity knowledgeable traders and my spare android phone where things work as expected for years, i would definitely have left fidelity. electronic channel support didn't even not care either of these or major login issues on the app since march 2020 (it now allows me to type 3-4 numerical characters in the password field, but not a long string without keyboard being switched by fidelity software code)... it doesn't appear there is any testing of the application for basic features and screens to work on even old iphone or ipad on apple. how about this idea: hiring s single apple native developer (out of college freshman in usa or even a college intern in usa) who actually would fix all these flaws such as tiny unadjustable font for for people to actual read great content and who would be more than happy to test apple ipad and iphone app on any second hand devices one can buy for $200- 300 on amazon prime. instead of all electronic channel support, fidelity should invest in a single apple native developer and a good qat team who would follow traders business scripts and test manually clicking on things produce an expected predictable and correct outcome in the testing scripts developed with traders business and common sense. if i were working at fidelity qat i would probably start with testing how login works on apple ipad and iphone when password is 5 numberic digits and then 3-4 letters and special characters. make that test a good 15 min exercise to grasp that not even basics work on apple ipad and iphone and see how customers experience this app... that would be my suggestion... today, there was only a second electronic support person who had apple ipad device to test this issue and trying to give me workaround suggestions, yet, since it's not a native ios apple developer, it's really impossible to hope this issue would be even entered into their jira for issues tracking purposes... disappointingly, the feedback i have submitted via the app and via the website feedback is ignored as always for the past few years since march 2020 when password typing keyboard switching bug was first hard coded into fidelity seemingly new application...","an issue with broken watch lists on apple ipad fidelity app was finally seemingly resolved after me complaining weekly via app feedback for the past 52 weeks every other day or so... and monthly via their representatives who are incredibly helpful when it comes to placing the trades etc, but they seem to be powerless as far as escalation of the technology issues and bugs... and advocating on behalf of their customer they are helping to trade as the application does not work... but login issues keyboard switching bug is still not addressed and ignored despite me giving numerous examples of specific behavior of keyboard switching to electronic channel support and reps, the issue is now only worse as of monday, 9-27-21 i can't login on google chrome and siri without typing 1 number, watching the keyboard being switched by fidelity software code bug to letters only keyboard (naturally only apple ipad native keyboard, no 3rd party which worked for years just fine) if not for fidelity knowledgeable traders and my spare android phone where things work as expected for years, i would definitely have left fidelity.","issue,broken,watch,list,apple,ipad,fidelity,app,finally,seemingly,resolve,complain,weekly,via,app,feedback,past,week,every,day,monthly,via,representative,incredibly,helpful,come,place,trade,etc,seem,powerless,far,technology,issue,bug,advocate,behalf,customer,help,trade,application,work,login,issue,keyboard,switch,bug,still,address,ignore,despite,give,numerous,example,specific,behavior,keyboard,switch,electronic,channel,support,rep,issue,bad,monday,login,google,chrome,siri,without,type,number,watch,keyboard,switch,fidelity,software,code,bug,letter,keyboard,naturally,apple,ipad,native,keyboard,party,work,year,fine,fidelity,knowledgeable,trader,spare,android,phone,thing,work,expect,year,would,definitely,left,fidelity"
213745,0.456688891,if i can give this no stars i wouldthis is the worst place to have your crypto first off they take money from you sane customer wallet customer refund wallet and when you ask them about it they say it's because you had attempts toadd money in funds when available well that's not the case for me at least my funds are there they just did not take them and then they took way more an exclamation amount of my then five cents a share doge coinand now the two-step authorization is a complete joke i've told many people about this app and now i regret it because they will not let me move my money and they taken so much money from me this is the worst app ever their customer service is horrible they steal they lie they cheat i worked hard for that money for them to just take it oh no not at all i guess i'm just gonna have to go to the ftc that's the federal trade commission and i hope that they ban uphold frombecause uphold does not uphold anything i need that money and they're playing with my money there at this point taking money out of me and my kids mouse that's horrible they don't resolve the issue they don't give you your money back and then they take way more they took over half of myinitial investment something needs to happen like i hate that i want to but i have to take all of my funds out of this wallet and it doesn't transfer to any other wallet so it's pretty much i'm gonna have to buy a higher price than i initially did but it will be well worth it to get my money somewhere world would be truly safe you don't have to worry about hackers because they're already hackers,if i can give this no stars i wouldthis is the worst place to have your crypto first off they take money from you sane customer wallet customer refund wallet and when you ask them about it they say it's because you had attempts toadd money in funds when available well that's not the case for me at least my funds are there they just did not take them and then they took way more an exclamation amount of my then five cents a share doge coinand now the two-step authorization is a complete joke i've told many people about this app and now i regret it because they will not let me move my money and they taken so much money from me this is the worst app ever their customer service is horrible they steal they lie they cheat i worked hard for that money for them to just take it oh no not at all i guess i'm just gonna have to go to the ftc that's the federal trade commission and i hope that they ban uphold frombecause uphold does not uphold anything i need that money and they're playing with my money there at this point taking money out of me and my kids mouse that's horrible they don't resolve the issue they don't give you your money back and then they take way more they took over half of myinitial investment something needs to happen like i hate that i want to but i have to take all of my funds out of this wallet and it doesn't transfer to any other wallet so it's pretty much i'm gonna have to buy a higher price than i initially did but it will be well worth it to get my money somewhere world would be truly safe you don't have to worry about hackers because they're already hackers,"give,star,bad,place,crypto,first,take,money,sane,customer,wallet,customer,refund,wallet,ask,say,attempt,money,fund,available,well,case,least,fund,take,take,way,exclamation,amount,five,cent,share,doge,twostep,authorization,complete,joke,told,many,people,app,regret,let,move,money,take,much,money,bad,app,ever,customer,service,horrible,steal,lie,cheat,work,hard,money,take,guess,gon,ftc,federal,trade,commission,hope,ban,uphold,uphold,uphold,anything,need,money,play,money,point,take,money,kid,mouse,horrible,resolve,issue,give,money,back,take,way,take,half,investment,something,need,happen,like,hate,want,take,fund,wallet,transfer,wallet,pretty,much,gon,buy,high,price,initially,well,worth,get,money,somewhere,world,would,truly,safe,worry,hacker,already,hacker"
11579,0.387287939,"this is a terrible app i swear to god you guys have stolen $1000 from me i made a deposit of $1000 through moonpay then i had to purchase usdt in order to purchase saitama usdt or inu on your app this was days ago 
once you guys got my money your so called simple process of buying crypto became the worst experience ever a simple click and buy process was simply a con game no matter how many times i went through the process plus watching youtube videos on the process your app wouldn't except my purchase it kept saying i was 5% over the purchase price are some crap . all i was trying to do was spend my full balance on the saitama coin which was $906.80 even when i simply click market price and 100% ,it didn't work even when i tried to purchase a small amount of 10 coins it still didn't work a message still came up saying i was 5% over the price . then today you guys sent me an alert requesting to update the app to a 2.0 are more version  and it mentioned something about glitches so i choose to update the app next thing i know when i attempted to log  on with my info . now it   doesn't recognize me at all yes i tried to reset the password and have a code sent to my email address which never came many hours later  i started off with $1000 then after all of the fees i had to pay in order  to buy usdt through moonpay on your app i was left with $906.80 that has now disappeared this app is just a total scam and yes i've contacted support that's a total scam to i've even been on so-called live chats i swear to god every time i attempted the process i would start off as the 20th even 30th in the cue and i would wait patiently all the way down to as close number 3 in the cue and each time you guys would booth me out of the cue lol and you guys even had the audacity to ask me to rate the chat right in the middle of me waiting to speak to someone which i never spoke to a single human being  just a friggin scam  don't get conned out of your money guys .you guys get one star for being so sophisticated  with your scheme",now it   doesn't recognize me at all yes i tried to reset the password and have a code sent to my email address which never came many hours later  i started off with $1000 then after all of the fees i had to pay in order  to buy usdt through moonpay on your app i was left with $906.80 that has now disappeared this app is just a total scam and yes i've contacted support that's a total scam to i've even been on so-called live chats i swear to god every time i attempted the process i would start off as the 20th even 30th in the cue and i would wait patiently all the way down to as close number 3 in the cue and each time you guys would booth me out of the cue lol and you guys even had the audacity to ask me to rate the chat right in the middle of me waiting to speak to someone which i never spoke to a single human being  just a friggin scam  don't get conned out of your money guys .you guys get one star for being so sophisticated  with your scheme,"recognize,yes,try,reset,password,code,sent,email,address,never,come,many,hour,later,start,fee,pay,order,buy,usdt,moonpay,app,left,disappear,app,total,scam,yes,contact,support,total,scam,even,socalled,live,chat,swear,god,every,time,attempt,process,would,start,even,cue,would,wait,patiently,way,close,number,cue,time,guy,would,cue,lol,guy,even,audacity,ask,rate,chat,right,middle,wait,speak,someone,never,spoke,single,human,friggin,scam,get,money,guy,guy,get,one,star,sophisticated,scheme"
182580,0.374820383,they show you what they want you to see and hide what they don't want you too see i've been using stash for about 6months now and one dayi decided to research deeper more into them in the company and overall in my opinion stash isn't much horrible they are just looking after theirs own self not us as the investors so you can call them i guess more so of a greed financial institution and they control all the finances once you linked your bank your f***** i had to close my bank account because they would not quit withdrawing my money and they really don't offer any type modification you can even do neither can you view any information that you have accessible you have to search really hard its like they hide it from you and also these other comments posted arnt just hater they're customer service is like a boy i've tried to contact them numerous of times only to be told the same thing in a different text with no help and the f&q are irrelevant to anything with a problem so my real overall view is that stash is @** no offense this is just a investment place to get started but don't not put real large money into stash or you'll never see it again warning look deeper into them on researching about they're hidden tricks you'll see for yourself they arnt for helping people,they show you what they want you to see and hide what they don't want you too see i've been using stash for about 6months now and one dayi decided to research deeper more into them in the company and overall in my opinion stash isn't much horrible they are just looking after theirs own self not us as the investors so you can call them i guess more so of a greed financial institution and they control all the finances once you linked your bank your f***** i had to close my bank account because they would not quit withdrawing my money and they really don't offer any type modification you can even do neither can you view any information that you have accessible you have to search really hard its like they hide it from you and also these other comments posted arnt just hater they're customer service is like a boy i've tried to contact them numerous of times only to be told the same thing in a different text with no help and the f&q are irrelevant to anything with a problem so my real overall view is that stash is @** no offense this is just a investment place to get started but don't not put real large money into stash or you'll never see it again warning look deeper into them on researching about they're hidden tricks you'll see for yourself they arnt for helping people,"show,want,see,hide,want,see,use,stash,month,one,decide,research,deeper,company,overall,opinion,stash,much,horrible,look,self,investor,call,guess,greed,financial,institution,control,finance,link,bank,close,bank,account,would,quit,withdraw,money,really,offer,type,even,neither,view,information,accessible,search,really,hard,like,hide,also,comment,post,arnt,customer,service,like,boy,try,contact,numerous,time,told,thing,different,text,help,irrelevant,anything,problem,real,overall,view,stash,offense,investment,place,get,start,put,real,large,money,stash,never,see,warn,look,deeper,research,hidden,trick,see,arnt,help,people"
59723,0.369833052,"it's ironic robinhood steals from the poor and gives to the rich i lost $1,000s in gains because they hid multiple stocks from the search query so we couldn't buy. a letter was written to acting attorney general monty wilkinson from a member of congress which reveals in paragraph 3 that melvin capital management is owned by the parent company citadel llc which, according to bloomberg report, gave robinhood roughly 40% of their revenue knowing the involvement citadel has with robinhood it is clear that the actions taken today were motivated by anti-competitive reasons not for concerns of volatility claimed by robinhood because of this blatant conflict of interest and obvious monopolistic activity they are calling for an immediate investigation by the u.s department of justice in robinhood and the hedge fund citadel llc don't use a platform like this that obviously doesn't have your best interest at heart","a letter was written to acting attorney general monty wilkinson from a member of congress which reveals in paragraph 3 that melvin capital management is owned by the parent company citadel llc which, according to bloomberg report, gave robinhood roughly 40% of their revenue knowing the involvement citadel has with robinhood it is clear that the actions taken today were motivated by anti-competitive reasons not for concerns of volatility claimed by robinhood because of this blatant conflict of interest and obvious monopolistic activity they are calling for an immediate investigation by the u.s department of justice in robinhood and the hedge fund citadel llc don't use a platform like this that obviously doesn't have your best interest at heart","letter,write,act,attorney,general,member,congress,reveals,paragraph,melvin,capital,management,own,parent,company,citadel,llc,accord,bloomberg,report,give,robinhood,roughly,revenue,know,involvement,citadel,robinhood,clear,action,take,today,motivate,anticompetitive,reason,concern,volatility,claimed,robinhood,blatant,conflict,interest,obvious,monopolistic,activity,call,immediate,investigation,department,justice,robinhood,hedge,fund,citadel,llc,use,platform,like,obviously,best,interest,heart"
52095,0.355941672,have something in the home display where it calculates and shows your current portfolio's yearly income from dividends and maybe a section with a graph to show that growth or maybe a bar graph were you can compare the dividend income from one year to another by month for dividend investors so they don't have to use third party programs to track it and can quickly see their approximate yearly dividend income and maybe you could come out with something like a drip loyalty plan where so that if they agree to use drip only that they get a percentage off of those shares from it because if you already know so much is going through to that stock maybe you can plan for this in advance by getting those from the market makers in bulk for cheaper because you know those dividend drip payouts boost that stocks volume,have something in the home display where it calculates and shows your current portfolio's yearly income from dividends and maybe a section with a graph to show that growth or maybe a bar graph were you can compare the dividend income from one year to another by month for dividend investors so they don't have to use third party programs to track it and can quickly see their approximate yearly dividend income and maybe you could come out with something like a drip loyalty plan where so that if they agree to use drip only that they get a percentage off of those shares from it because if you already know so much is going through to that stock maybe you can plan for this in advance by getting those from the market makers in bulk for cheaper because you know those dividend drip payouts boost that stocks volume,"something,home,display,calculates,show,current,portfolio,yearly,income,dividend,maybe,section,graph,show,growth,maybe,bar,graph,compare,dividend,income,one,year,another,month,dividend,investor,use,third,party,program,track,quickly,see,approximate,yearly,dividend,income,maybe,could,come,something,like,drip,loyalty,plan,agree,use,drip,get,percentage,share,already,know,much,go,stock,maybe,plan,advance,get,market,maker,bulk,cheaper,know,dividend,drip,payouts,boost,stock,volume"
220,0.352768,"as a 26 year old. i finally believe that this app was really for me. it has helped me develop as an independent young woman. at the beginning, i was doubtful about an app that could be this easy, but i could rest assured. i'm amazed !!!. when i was born, my hateful parents were too busy to care for me. they were so busy that they were not there when i was born. i was born at an extremely young age. when i turned 6, my pet fish drowned in my pool. i believe that this all could help me from these trauma s. life like trying to be christ like in him i find delight  his love is always right jesus loves me this i know for the bible tells me so little ones to him belong they are weak but he is strong jesus loves me he who died heavens gate to open wide he will wash away my sins let his little child come in jesus loves me how could this be to love a sinner to set him free after many years i finally see it's was always about him never me jesus loves me me a disgrace with warm hands he will embrace all my sin and faults has has erased praise to him full of grace",i believe that this all could help me from these trauma s. life like trying to be christ like in him i find delight  his love is always right jesus loves me this i know for the bible tells me so little ones to him belong they are weak but he is strong jesus loves me he who died heavens gate to open wide he will wash away my sins let his little child come in jesus loves me how could this be to love a sinner to set him free after many years i finally see it's was always about him never me jesus loves me me a disgrace with warm hands he will embrace all my sin and faults has has erased praise to him full of grace,"believe,could,help,life,like,try,christ,like,find,delight,love,always,right,jesus,love,know,tell,little,one,belong,weak,strong,jesus,love,die,heaven,gate,open,wide,wash,away,let,little,child,come,jesus,love,could,love,set,free,many,year,finally,see,always,never,jesus,love,disgrace,warm,hand,embrace,sin,fault,erase,praise,full,grace"
